Experiment: Feb_23_chemo_expt vial 6, Tue Feb 23 14:42:27 2021
0.0045,28167
0.0102,28181
0.0159,28150
0.0215,28162
0.0269,28181
0.0325,28168
0.0382,28179
0.0435,28181
0.0492,28192
0.0548,28196
0.0604,28191
0.0658,28187
0.0714,28186
0.0771,28191
0.0825,28173
0.0881,28178
0.0937,28176
0.0991,28177
0.1047,28161
0.1104,28171
0.1157,28170
0.1214,28180
0.127,28186
0.1327,28168
0.138,28171
0.1437,28164
0.1493,28187
0.1547,28172
0.1603,28168
0.166,28175
0.1713,28190
0.177,28192
0.1824,28192
0.188,28180
0.1936,28207
0.1993,28189
