Experiment: Feb_23_chemo_expt vial 8, Tue Feb 23 14:42:27 2021
0.0045,29260
0.0102,29258
0.0159,29258
0.0215,29260
0.0269,29262
0.0325,29256
0.0382,29260
0.0435,29263
0.0492,29255
0.0548,29252
0.0604,29248
0.0658,29258
0.0714,29253
0.0771,29259
0.0825,29240
0.0881,29255
0.0937,29242
0.0991,29241
0.1047,29216
0.1104,29249
0.1157,29243
0.1214,29238
0.127,29252
0.1327,29239
0.138,29239
0.1437,29253
0.1493,29251
0.1547,29231
0.1603,29240
0.166,29243
0.1713,29226
0.177,29229
0.1824,29240
0.188,29231
0.1936,29262
0.1993,29249
