Experiment: Feb_23_chemo_expt vial 13, Tue Feb 23 14:42:27 2021
0.0045,28881
0.0102,28883
0.0159,28886
0.0215,28880
0.0269,28880
0.0325,28876
0.0382,28883
0.0435,28885
0.0492,28884
0.0548,28846
0.0604,28858
0.0658,28863
0.0714,28866
0.0771,28873
0.0825,28869
0.0881,28872
0.0937,28872
0.0991,28838
0.1047,28851
0.1104,28843
0.1157,28861
0.1214,28863
0.127,28847
0.1327,28824
0.138,28851
0.1437,28855
0.1493,28858
0.1547,28863
0.1603,28852
0.166,28851
0.1713,28819
0.177,28829
0.1824,28841
0.188,28840
0.1936,28845
0.1993,28843
