Experiment: Feb_23_chemo_expt vial 9, Tue Feb 23 14:42:27 2021
0.0045,28163
0.0102,28164
0.0159,28166
0.0215,28163
0.0269,28157
0.0325,28159
0.0382,28145
0.0435,28143
0.0492,28132
0.0548,28123
0.0604,28105
0.0658,28126
0.0714,28127
0.0771,28136
0.0825,28130
0.0881,28129
0.0937,28124
0.0991,28135
0.1047,28135
0.1104,28142
0.1157,28144
0.1214,28142
0.127,28158
0.1327,28147
0.138,28154
0.1437,28157
0.1493,28161
0.1547,28153
0.1603,28144
0.166,28147
0.1713,28139
0.177,28141
0.1824,28126
0.188,28134
0.1936,28137
0.1993,28136
