Experiment: Feb_23_chemo_expt vial 11, Tue Feb 23 14:42:27 2021
0.0045,26868
0.0102,26930
0.0159,26924
0.0215,26925
0.0269,26920
0.0325,26890
0.0382,26906
0.0435,26865
0.0492,26884
0.0548,26907
0.0604,26899
0.0658,26891
0.0714,26892
0.0771,26890
0.0825,26855
0.0881,26887
0.0937,26850
0.0991,26796
0.1047,26888
0.1104,26926
0.1157,26903
0.1214,26886
0.127,26866
0.1327,26900
0.138,26856
0.1437,26894
0.1493,26915
0.1547,26908
0.1603,26877
0.166,26843
0.1713,26912
0.177,26866
0.1824,26903
0.188,26912
0.1936,26907
0.1993,26912
