Experiment: Feb_23_chemo_expt vial 12, Tue Feb 23 14:42:27 2021
0.0045,27932
0.0102,27932
0.0159,27926
0.0215,27926
0.0269,27926
0.0325,27925
0.0382,27943
0.0435,27954
0.0492,27957
0.0548,27952
0.0604,27949
0.0658,27969
0.0714,27961
0.0771,27965
0.0825,27959
0.0881,27960
0.0937,27952
0.0991,27955
0.1047,27959
0.1104,27973
0.1157,27968
0.1214,27963
0.127,27970
0.1327,27962
0.138,27965
0.1437,27970
0.1493,27977
0.1547,27981
0.1603,27969
0.166,27964
0.1713,27965
0.177,27974
0.1824,27963
0.188,27964
0.1936,27983
0.1993,27985
