Experiment: Feb_23_chemo_expt vial 4, Tue Feb 23 14:42:27 2021
0.0045,28136
0.0102,28144
0.0159,28133
0.0215,28138
0.0269,28144
0.0325,28145
0.0382,28145
0.0435,28157
0.0492,28154
0.0548,28167
0.0604,28165
0.0658,28178
0.0714,28180
0.0771,28185
0.0825,28182
0.0881,28185
0.0937,28162
0.0991,28168
0.1047,28177
0.1104,28173
0.1157,28169
0.1214,28175
0.127,28172
0.1327,28182
0.138,28176
0.1437,28185
0.1493,28193
0.1547,28182
0.1603,28179
0.166,28176
0.1713,28175
0.177,28181
0.1824,28180
0.188,28183
0.1936,28199
0.1993,28207
