Experiment: Feb_23_chemo_expt vial 15, Tue Feb 23 14:42:27 2021
0.0045,29032
0.0102,29030
0.0159,29030
0.0215,29031
0.0269,29022
0.0325,29021
0.0382,29011
0.0435,29020
0.0492,29013
0.0548,29007
0.0604,29012
0.0658,29005
0.0714,28998
0.0771,28990
0.0825,28995
0.0881,28979
0.0937,28978
0.0991,28989
0.1047,28973
0.1104,28992
0.1157,28989
0.1214,28980
0.127,28989
0.1327,28965
0.138,28990
0.1437,28981
0.1493,28985
0.1547,28983
0.1603,28972
0.166,28976
0.1713,28968
0.177,28976
0.1824,28971
0.188,28983
0.1936,28983
0.1993,28970
