Experiment: Mar_25_Phage_osmo_expt vial 1, Thu Mar 25 17:24:53 2021
0.0026,55348
0.0083,55344
0.0137,55341
0.0194,55340
0.0247,55339
0.0304,55346
0.036,55349
0.0414,55326
0.0471,55325
0.0528,55334
0.0581,55338
0.0638,55327
0.0694,55308
0.0748,55327
0.0804,55333
0.0861,55333
0.0917,55322
0.097,55337
0.1027,54936
0.1081,54944
0.1138,54958
0.1194,54950
0.1248,54949
0.1304,54956
0.136,54957
0.1417,54958
0.147,54957
0.1527,54962
0.1583,54955
0.1637,54954
0.1693,54952
0.1749,54944
0.1806,54944
0.1859,54952
0.1915,54949
0.1971,54953
0.2028,54958
0.2081,54956
0.2137,54949
0.2194,54954
0.225,54962
0.2304,54956
0.236,54961
0.2416,54961
0.2472,54957
0.2526,54951
0.2582,54964
0.2638,54958
0.2695,54957
0.2748,54952
0.2804,54962
0.2861,54957
0.2915,54904
0.2971,54959
0.3026,54952
0.3082,54956
0.3138,54961
0.3194,54958
0.3248,54967
0.3304,54960
0.3361,54958
0.3417,54958
0.3473,54958
0.3526,54964
0.3582,54962
0.3638,54959
0.3694,54960
0.3748,54965
0.3804,54963
0.386,54955
0.3917,54961
0.3971,54967
0.4027,54947
0.4083,54953
0.4138,54955
0.4193,54954
0.4249,54956
0.4306,54955
0.4359,54963
0.4416,54968
0.4472,54953
0.4526,54960
0.4582,54963
0.4639,54952
0.4693,54962
0.4749,54949
0.4806,54947
0.486,54954
0.4917,54960
0.4971,54952
0.5027,54954
0.5081,54959
0.5137,54955
0.5194,54958
0.5248,54955
0.5305,54953
0.5361,54960
0.5415,54958
0.5472,54952
0.5528,54953
0.5581,54964
0.5638,54952
0.5694,54953
0.5751,54959
0.5804,54958
0.586,54951
0.5917,54949
0.5971,54959
0.6027,54960
0.6084,54952
0.6137,54960
0.6194,54950
0.625,54959
0.6304,54956
0.6361,54960
0.6417,54959
0.6473,54958
0.6527,54958
0.6583,54961
0.6639,54955
0.6695,54961
0.6749,54964
0.6805,54964
0.6861,54959
0.6915,54971
0.6971,54959
0.7028,54957
0.7084,54962
0.7137,54953
0.7193,54958
0.7249,54961
0.7306,54958
0.7359,54954
0.7415,54962
0.7471,54960
0.7528,54956
0.7584,54962
0.7637,54964
0.7694,54959
0.775,54959
0.7804,54965
0.7861,54964
0.7917,54964
0.7971,54962
0.8027,54965
0.8083,54962
0.8137,54966
0.8194,54965
0.825,54971
0.8306,54969
0.836,54974
0.8416,54972
0.8473,54970
0.8527,54971
0.8584,54968
0.8637,54968
0.8694,54972
0.8749,54981
0.8805,54972
0.8862,54973
0.8916,54978
0.8973,54973
0.9027,54976
0.9083,54981
0.9137,54975
0.9194,54973
0.9248,54974
0.9305,54970
0.9362,54972
0.9416,54967
0.9473,54981
0.9527,54981
0.9583,54977
0.9637,54975
0.9694,54968
0.9748,54968
0.9805,54969
0.9862,54971
0.9916,54978
0.9972,54972
1.0026,54969
1.0083,54968
1.014,54972
1.0194,54976
1.025,54977
1.0304,54976
1.0361,54984
1.0418,54968
1.0472,54987
1.0528,54978
1.0583,54985
1.0639,54978
1.0693,54976
1.075,54986
1.0804,54984
1.0861,54975
1.0918,54980
1.0972,54983
1.1028,54988
1.1082,54984
1.1139,54983
1.1193,54981
1.125,54998
1.1304,54980
1.136,54979
1.1417,54987
1.1471,54990
1.1528,54975
1.1582,54980
1.1639,54973
1.1695,54981
1.1749,54986
1.1806,54981
1.186,54986
1.1916,54979
1.1973,54981
