Experiment: Feb_19_chem2_expt vial 8, Thu Feb 18 11:43:08 2021
0.0045,0.0
0.0102,-0.0003600082461676646
0.0158,8.344415257988125e-05
0.0212,-0.0008273619831022927
0.0269,-0.0006055971343115196
0.0325,3.575504037933719e-05
0.0379,-0.00040768518601130843
0.0435,-0.0005936788592875164
0.0489,-0.0010372282769612884
0.0545,-0.0012709417116911759
0.0602,0.0005268298433180885
0.0655,-0.0017264976923756503
0.0712,-0.0010610576176157682
0.0767,-0.00023362178887653684
0.0824,0.0008866620702216998
0.088,-0.0010729706031178399
0.0934,-0.00038384896252230405
0.099,-0.0005459945270260835
