Experiment: Feb_19_chem2_expt vial 9, Thu Feb 18 11:43:09 2021
0.0045,0.0
0.0102,-0.0008304895116405531
0.0158,0.0005091576796403263
0.0212,-0.0010461515582847192
0.0269,-0.00108746145705102
0.0325,2.7536604814470955e-05
0.0379,0.001508959864629289
0.0435,-0.0005367945748420422
0.0489,-0.0011471052810924642
0.0545,-0.0013444645875352879
0.0602,-0.0021202495279830647
0.0655,-0.0017851199092011327
0.0712,-0.002460009922138906
0.0767,-0.0024049187514515735
0.0824,-0.00212484975357638
0.088,-0.002065161238980623
0.0934,-0.0030661455135558846
0.099,-0.0036770662662004017
