Experiment: Feb_19_chem2_expt vial 2, Thu Feb 18 11:43:08 2021
0.0045,0.0
0.0102,0.0013175434869507896
0.0158,0.0006512688206035122
0.0212,0.0006927093512003601
0.0269,0.0003294044548558528
0.0325,-1.5111597050143644e-05
0.0379,-0.0003256296059339636
0.0435,2.269053413450628e-05
0.0489,-0.002018703162263602
0.0545,-0.0013329718668320112
0.0602,4.540883452941458e-05
0.0655,0.0020136292695245306
0.0712,3.7798274785671993e-06
0.0767,0.0017256586644003313
0.0824,0.00273561421723012
0.088,0.001377639029016553
0.0934,-0.0009882876970128684
0.099,-0.0033370682470386104
