Experiment: Feb_19_chem2_expt vial 10, Thu Feb 18 11:43:09 2021
0.0045,0.0
0.0102,-0.001902181187849461
0.0158,-0.001234968448292184
0.0212,-0.0016849676504526734
0.0269,-0.0001962577103872265
0.0325,-0.0006356406560644734
0.0379,-0.001245390555305148
0.0435,-0.001902181187849461
0.0489,-0.003732525899511119
0.0545,-0.0024965317696706846
0.0602,-0.002465196438224959
0.0655,-0.0016484704019747998
0.0712,-0.0033344175501941464
0.0767,-0.0026720209620354485
0.0824,-0.0018656760914403936
0.088,-0.002465196438224959
0.0934,-0.004389987014862373
0.099,-0.002067247552945961
