Experiment: Feb_19_chem2_expt vial 6, Thu Feb 18 11:43:08 2021
0.0045,0.0
0.0102,-0.0023093245948671015
0.0158,-0.0019173379300592153
0.0212,-0.001339893616890686
0.0269,-0.002453211635309982
0.0325,-0.003423086629277039
0.0379,-0.0004020522630969747
0.0435,-0.001896501532676842
0.0489,-0.0011647829335585946
0.0545,-0.0007729906958198196
0.0602,-0.0016953248976563362
0.0655,-0.0022780586757034094
0.0712,-0.001530624236456113
0.0767,-0.002628364105091263
0.0824,-0.001901711842456244
0.088,-0.0035878523433754417
0.0934,-0.003990575216600956
0.099,-0.004346301232136751
