Experiment: Feb_19_chem2_expt vial 11, Thu Feb 18 11:43:09 2021
0.0045,0.0
0.0102,-0.004186827930663606
0.0158,-0.0007143874415284079
0.0212,-0.0011311933696979137
0.0269,2.5499832934428035e-05
0.0325,-0.0016757134896909776
0.0379,-0.0030544496033487745
0.0435,-0.0005187548910431383
0.0489,-0.0011822434424187955
0.0545,-0.0016246423036779811
0.0602,-0.0018203239992699016
0.0655,-0.0018969444745167152
0.0712,-0.0019480271677289052
0.0767,-0.0016757134896909776
0.0824,-0.0004422237222962977
0.088,-0.002365001055433358
0.0934,-0.0030800156781014554
0.099,0.0010288729397712748
