Experiment: Feb_19_chem2_expt vial 5, Thu Feb 18 11:43:08 2021
0.0045,0.0
0.0102,-0.001400295082748082
0.0158,-0.0011827396032091375
0.0212,-0.00215769566709223
0.0269,-0.0015519772967372836
0.0325,6.570737187228115e-05
0.0379,0.00010326239597358011
0.0435,0.0007553159568979284
0.0489,-0.000899370572593261
0.0545,0.0008022252190753587
0.0602,-2.0199980547586094e-05
0.0655,0.0010007505909273018
0.0712,-0.00034218367745364464
0.0767,0.0011133268997788326
0.0824,0.0017180670620611238
0.088,0.0015571382573004167
0.0934,0.0004802648821587985
0.099,0.0012742790898435663
