Experiment: Feb_19_chem2_expt vial 15, Thu Feb 18 11:43:09 2021
0.0045,0.0
0.0102,-0.0024082235963598375
0.0158,-0.0028110047488572043
0.0212,-0.0026090841618422456
0.0269,-0.0008037355156897963
0.0325,-0.0006016378295423674
0.0379,-0.001604540354835371
0.0435,-0.0036136404237450126
0.0489,-0.004620346674290232
0.0545,-0.002409668002504972
0.0602,-0.004617081686262847
0.0655,-0.0024100762770385975
0.0712,-0.002611353006906736
0.0767,-0.0026090841618422456
0.0824,-0.0032109167410159234
0.088,-0.0014043775403645986
0.0934,-0.002410482590268326
0.099,-0.0006039907563180069
