Experiment: Feb_19_chem2_expt vial 14, Thu Feb 18 11:43:09 2021
0.0045,0.0
0.0102,-0.0002152946897476804
0.0158,-2.406224826057013e-06
0.0212,-0.0004277199659245001
0.0269,-0.0004296483801085049
0.0325,0.0004228344907234449
0.0379,0.00042666658367274124
0.0435,-4.322956093094632e-06
0.0489,-0.0019186166782645397
0.0545,-0.0019239969797077983
0.0602,-0.0017075305909605154
0.0655,-0.001281491445259797
0.0712,-0.0019230228673792205
0.0767,-0.0019191080878543376
0.0824,-0.0014988687466699346
0.088,-0.0017089942521870682
0.0934,-0.0019254547112841358
0.099,-0.001073327170396321
