Experiment: Feb_19_chem2_expt vial 12, Thu Feb 18 11:43:09 2021
0.0045,0.0
0.0102,-0.00012299556871192552
0.0158,-0.0012158503211078808
0.0212,-0.0025454676094938677
0.0269,-0.003875583185702469
0.0325,-0.0006201522340292254
0.0379,-0.001737782866589599
0.0435,-0.002781857939458676
0.0489,-0.005181481335952087
0.0545,-0.005541601779466554
0.0602,-0.00458496002659714
0.0655,-0.005516879396570751
0.0712,-0.004136727818772501
0.0767,-0.002781857939458676
0.0824,-0.0054921572159371546
0.088,-0.006251254792089822
0.0934,-0.007233304314974709
0.099,-0.007805684557697423
