Experiment: Feb_19_chem2_expt vial 13, Thu Feb 18 11:43:09 2021
0.0045,0.0
0.0102,0.00013118975257345178
0.0158,-0.0011827348063248588
0.0212,-0.0008702644410484295
0.0269,-0.0026556542661594906
0.0325,-0.0013332064311684377
0.0379,-0.00018876583784524503
0.0435,6.98411774340546e-05
0.0489,-0.0015681490343902593
0.0545,-0.002081116076910472
0.0602,-0.0025749396371517463
0.0655,-0.002813897473822824
0.0712,-0.0028792042383263827
0.0767,-0.0011712206076084086
0.0824,-0.0024436356746514176
0.088,-0.0022393143816196726
0.0934,-0.003963486459990645
0.099,-0.0027362810143315985
