Experiment: Apr27_cal_tst_expt vial 7, Wed Apr 27 17:25:27 2022
2.2202,28649
2.2259,28644
2.2315,28655
2.2371,28656
2.2425,28646
2.2481,28651
2.2538,28652
2.2591,28636
2.2648,28644
2.2704,28650
2.2757,28647
2.2814,28646
2.287,28652
2.2927,28646
2.298,28663
2.3036,28654
2.3093,28649
2.3149,28648
2.3203,28652
2.3259,28655
2.3315,28651
2.3369,28643
2.3425,28649
2.3481,28637
2.3538,28646
2.3591,28647
2.3648,28635
2.3704,28647
2.3759,28644
2.3816,28646
2.3869,28639
2.3925,28648
2.3982,28647
2.4038,28646
2.4092,28639
2.4148,28655
2.4204,28651
2.426,28640
2.4314,28646
2.437,28668
2.4427,28655
2.448,28649
2.4536,28656
2.4593,28646
2.4649,28645
2.4702,28651
2.4759,28643
2.4815,28642
2.4871,28653
2.4925,28640
2.4981,28645
2.5038,28657
2.5091,28660
2.5148,28643
2.5204,28642
2.5257,28651
2.5314,28638
2.537,28652
2.5427,28646
2.5483,28642
2.5536,28653
2.5593,28648
2.5649,28651
2.5702,28646
2.5759,28651
2.5815,28657
2.5871,28658
2.5925,28658
2.5981,28645
2.6037,28646
2.6093,28649
2.6147,28644
2.6203,28640
2.626,28649
2.6316,28650
2.6369,28651
2.6426,28647
2.6482,28642
2.6538,28637
2.6592,28644
2.6648,28662
2.6705,28643
2.6758,28665
2.6814,28655
2.6871,28652
2.6925,28648
2.6981,28653
2.7037,28647
2.7091,28644
2.7147,28642
2.7203,28643
2.726,28647
2.7313,28636
2.7369,28644
2.7425,28645
2.7482,28643
2.7538,28653
2.7591,28646
2.7648,28640
2.7704,28634
2.776,28638
2.7814,28648
2.7871,28643
2.7927,28642
2.798,28635
2.8036,28641
2.8093,28643
2.8149,28646
2.8203,28638
2.8259,28644
2.8315,28640
2.8371,28648
2.8425,28643
2.8481,28650
2.8537,28638
2.8594,28655
2.8647,28653
2.8703,28635
2.8759,28638
2.8816,28646
2.8869,28655
2.8925,28645
2.8981,28648
2.9037,28648
2.9094,28641
2.9147,28654
2.9203,28639
2.9259,28653
2.9316,28643
2.9369,28638
2.9426,28643
2.9481,28654
2.9537,28643
2.9591,28647
2.9647,28637
2.9704,28643
2.9759,28648
2.9815,28647
2.9872,28643
2.9925,28639
2.9981,28644
3.0037,28648
3.0094,28639
3.0147,28651
3.0203,28652
3.026,28634
3.0313,28640
3.0369,28632
3.0426,28637
3.0482,28635
3.0538,28638
3.0593,28638
3.0649,28637
3.0703,28636
3.0759,28630
3.0815,28639
3.0871,28646
3.0925,28631
3.0981,28628
3.1037,28626
3.1094,28632
3.1147,28632
3.1203,28639
3.126,28632
3.1316,28643
3.1372,28642
3.1425,28647
3.1482,28641
3.1538,28636
3.1591,28637
3.1648,28633
3.1704,28639
3.176,28631
3.1814,28636
3.187,28644
3.1926,28628
3.1982,28636
3.2038,28642
3.2092,28650
3.2148,28637
3.2204,28635
3.2258,28644
3.2314,28641
3.2371,28634
3.2427,28633
3.2481,28633
3.2537,28648
3.2593,28647
3.2649,28623
3.2703,28615
3.2759,28640
3.2815,28624
3.2871,28637
3.2925,28631
3.2981,28630
3.3037,28627
3.3094,28630
3.3147,28633
3.3203,28626
3.326,28640
3.3316,28639
3.3369,28639
3.3426,28638
3.3482,28648
3.3538,28633
3.3592,28635
3.3648,28623
3.3704,28632
3.376,28630
3.3814,28637
3.387,28644
3.3926,28645
3.3983,28632
3.4036,28631
3.4093,28640
3.4149,28637
3.4203,28633
3.4259,28638
3.4315,28638
3.4371,28628
3.4425,28643
3.4481,28641
3.4538,28653
3.4594,28645
3.4648,28633
3.4704,28628
3.476,28634
3.4814,28641
3.487,28634
3.4926,28640
3.4982,28630
3.5036,28634
3.5092,28651
3.5148,28640
3.5205,28648
3.5258,28647
3.5314,28650
3.5371,28641
3.5427,28640
3.5481,28638
3.5537,28635
3.5593,28657
3.5647,28641
3.5703,28656
3.5759,28652
3.5816,28640
3.5869,28637
3.5925,28640
3.5982,28638
3.6038,28642
3.6093,28650
3.6149,28643
3.6203,28642
3.6259,28645
3.6316,28650
3.6369,28647
3.6425,28647
3.6481,28638
3.6538,28661
3.6591,28647
3.6648,28649
3.6704,28648
3.676,28643
3.6814,28659
3.687,28640
3.6926,28643
3.6983,28643
3.7036,28644
3.7093,28637
3.7149,28645
3.7205,28636
3.7259,28647
3.7315,28637
3.7371,28644
3.7425,28641
3.7481,28622
3.7537,28641
3.7594,28643
3.7647,28652
3.7704,28642
3.776,28644
3.7816,28649
3.787,28651
3.7926,28635
3.7982,28643
3.8036,28643
3.8092,28645
3.8148,28642
3.8205,28643
3.8258,28644
3.8314,28652
3.837,28654
3.8427,28630
3.848,28639
3.8537,28639
3.8593,28632
3.8649,28631
3.8703,28634
3.8759,28639
3.8816,28646
3.8872,28638
3.8925,28634
3.8981,28642
3.9038,28651
3.9094,28636
3.9147,28635
3.9204,28625
3.926,28629
3.9316,28644
3.937,28649
3.9426,28635
3.9482,28634
3.9538,28640
3.9592,28637
3.9648,28638
3.9705,28637
3.9758,28629
3.9814,28631
3.9871,28637
3.9927,28638
3.9982,28634
4.0038,28651
4.0092,28636
4.0149,28629
4.0205,28624
4.0259,28639
4.0315,28636
4.0371,28618
4.0425,28637
4.0481,28642
4.0538,28643
4.0594,28631
4.0647,28640
4.0703,28648
4.0759,28637
4.0816,28632
4.0869,28640
4.0926,28648
4.0982,28640
4.1038,28633
4.1092,28628
4.1148,28638
4.1204,28622
4.1261,28629
4.1314,28639
4.137,28629
4.1426,28630
4.1483,28631
4.1536,28628
4.1592,28620
4.1649,28635
4.1705,28634
4.1759,28645
4.1815,28633
4.1871,28637
4.1925,28628
4.1981,28634
4.2038,28644
4.2094,28628
4.2147,28635
4.2204,28630
4.226,28636
4.2316,28633
4.237,28632
4.2426,28632
4.2482,28642
4.2538,28632
4.2592,28631
4.2648,28634
4.2705,28631
4.2758,28625
4.2815,28629
4.2871,28633
4.2927,28626
4.2981,28618
4.3037,28633
4.3094,28622
4.3147,28637
4.3203,28642
4.326,28639
4.3316,28640
4.337,28644
4.3426,28647
4.3482,28650
4.3539,28643
4.3592,28652
4.3648,28631
4.3705,28632
4.3758,28633
4.3815,28646
4.3871,28634
4.3927,28629
4.3981,28651
4.4037,28633
4.4093,28633
4.415,28627
4.4203,28640
4.4259,28638
4.4316,28640
4.4372,28631
4.4425,28626
4.4482,28641
4.4538,28629
4.4591,28639
4.4648,28638
4.4703,28638
4.4759,28642
4.4816,28644
4.4872,28637
4.4926,28634
4.4981,28639
4.5037,28629
4.5094,28636
4.515,28626
4.5204,28634
4.5259,28633
4.5315,28632
4.5372,28631
4.5425,28641
4.5481,28643
4.5537,28629
4.5594,28628
4.5647,28633
4.5704,28625
4.576,28628
4.5815,28635
4.5872,28647
4.5925,28646
4.5981,28643
4.6038,28633
4.6093,28643
4.615,28632
4.6203,28641
4.6259,28640
4.6315,28643
4.6371,28641
4.6425,28632
4.6481,28647
4.6537,28623
4.6594,28632
4.6647,28638
4.6704,28631
4.676,28634
4.6816,28640
4.687,28640
4.6926,28637
4.6982,28637
4.7039,28634
4.7092,28640
4.7148,28629
4.7205,28634
4.7261,28640
4.7314,28635
4.7371,28634
4.7427,28639
4.7481,28621
4.7537,28631
4.7593,28627
4.7649,28628
4.7703,28627
4.7759,28630
4.7815,28639
4.7872,28630
4.7925,28645
4.7982,28642
4.8038,28655
4.8094,28647
4.8148,28632
4.8204,28652
4.826,28647
4.8314,28634
4.837,28639
4.8427,28649
4.8483,28632
4.8536,28647
4.8593,28639
4.8649,28630
4.8705,28644
4.8758,28637
4.8814,28635
4.8871,28646
4.8927,28650
4.8983,28622
4.9036,28636
4.9093,28634
4.9149,28640
4.9205,28636
4.9259,28635
4.9315,28630
4.9371,28638
4.9427,28637
4.9481,28618
4.9537,28631
4.9594,28634
4.965,28635
4.9704,28643
4.976,28633
4.9816,28638
4.987,28641
4.9926,28641
4.9982,28643
5.0039,28636
5.0092,28642
5.0149,28635
5.0205,28648
5.0259,28639
5.0315,28636
5.0371,28638
5.0428,28643
5.0481,28643
5.0538,28645
5.0594,28636
5.065,28638
5.0704,28645
5.076,28641
5.0816,28648
5.087,28628
5.0926,28620
5.0982,28639
5.1039,28639
5.1092,28643
5.1148,28640
5.1205,28630
5.1261,28624
5.1314,28640
5.1371,28634
5.1427,28641
5.1483,28632
5.1537,28625
5.1593,28622
5.1649,28631
5.1705,28629
5.1759,28635
5.1815,28631
5.1871,28626
5.1928,28632
5.1981,28637
5.2038,28642
5.2094,28635
5.2148,28647
5.2204,28647
5.226,28643
5.2317,28628
5.237,28643
5.2426,28639
5.2483,28644
5.2539,28637
5.2592,28637
5.2649,28632
5.2705,28645
5.2761,28638
5.2814,28637
5.2871,28640
5.2927,28646
5.2981,28632
5.3037,28636
5.3094,28645
5.315,28644
5.3203,28638
5.326,28639
5.3316,28637
5.337,28643
5.3426,28640
5.3483,28638
5.3539,28642
5.3592,28636
5.3649,28641
5.3705,28643
5.3759,28626
5.3815,28638
5.3871,28634
5.3925,28638
5.3981,28629
5.4038,28627
5.4094,28642
5.415,28639
5.4204,28643
5.426,28635
5.4316,28638
5.4372,28635
5.4426,28647
5.4482,28640
5.4538,28646
5.4594,28645
5.4648,28649
5.4704,28639
5.476,28638
5.4816,28628
5.487,28642
5.4926,28635
5.4983,28643
5.5036,28630
5.5092,28631
5.5149,28637
5.5205,28635
5.5259,28624
5.5315,28649
5.5371,28639
5.5427,28640
5.5481,28645
5.5537,28631
5.5594,28643
5.565,28640
5.5703,28650
5.576,28649
5.5816,28637
5.5869,28638
5.5926,28645
5.5982,28643
5.6038,28639
5.6092,28626
5.6148,28641
5.6205,28622
5.626,28630
5.6314,28645
5.637,28633
5.6426,28627
5.6483,28641
5.6539,28650
5.6592,28636
5.6649,28652
5.6705,28646
5.6761,28630
5.6815,28639
5.6871,28638
5.6927,28638
5.6982,28640
5.7036,28646
5.7092,28650
5.7149,28638
5.7205,28641
5.7261,28628
5.7314,28631
5.7371,28636
5.7427,28644
5.7483,28627
5.7537,28638
5.7593,28638
5.7649,28635
5.7705,28641
5.7761,28626
5.7815,28640
5.7871,28637
5.7927,28638
5.7981,28625
5.8037,28642
5.8093,28649
5.815,28642
5.8203,28637
5.826,28639
5.8316,28644
5.8372,28640
5.8426,28640
5.8482,28638
5.8539,28637
5.8592,28648
5.8648,28626
5.8704,28629
5.8761,28633
5.8817,28646
5.887,28654
5.8926,28637
5.8983,28649
5.9039,28640
5.9092,28642
5.9149,28643
5.9205,28645
5.9259,28642
5.9315,28648
5.9371,28645
5.9428,28627
5.9481,28635
5.9537,28631
5.9593,28644
5.9649,28635
5.9705,28639
5.9759,28628
5.9815,28640
5.9872,28626
5.9925,28641
5.9981,28639
6.0038,28647
6.0094,28645
6.0148,28649
6.0203,28644
6.0259,28647
6.0316,28632
6.0372,28636
6.0425,28628
6.0481,28642
6.0538,28641
6.0594,28643
6.0647,28650
6.0704,28642
6.0759,28626
6.0816,28625
6.0872,28639
6.0925,28645
6.0982,28633
6.1037,28629
6.1094,28629
6.115,28640
6.1203,28632
6.1259,28636
6.1315,28632
6.1372,28638
6.1428,28627
6.1481,28637
6.1538,28632
6.1594,28641
6.165,28642
6.1703,28640
6.176,28640
6.1816,28637
6.1872,28637
6.1928,28616
6.1981,28637
6.2038,28634
6.2092,28624
6.2148,28626
6.2205,28629
6.2261,28637
6.2315,28630
6.2372,28628
6.2425,28622
6.2482,28634
6.2538,28628
6.2594,28631
6.2647,28624
6.2704,28643
6.276,28645
6.2816,28628
6.2872,28641
6.2926,28644
6.2982,28626
6.3038,28627
6.3094,28637
6.3148,28631
6.3204,28634
6.3261,28620
6.3314,28630
6.3371,28638
6.3427,28633
6.348,28638
6.3537,28614
6.3593,28625
6.3649,28637
6.3705,28630
6.3759,28612
6.3815,28638
6.3872,28641
6.3928,28627
6.3981,28624
6.4038,28636
6.4094,28644
6.4148,28646
6.4204,28625
6.426,28633
6.4316,28639
6.437,28624
6.4426,28636
6.4482,28638
6.4539,28633
6.4592,28644
6.4648,28634
6.4705,28638
6.4761,28634
6.4815,28624
6.4871,28621
6.4927,28622
6.4981,28652
6.5037,28641
6.5093,28643
6.515,28646
6.5203,28634
6.5259,28644
6.5316,28645
6.5372,28633
6.5425,28644
6.5482,28649
6.5538,28638
6.5594,28640
6.5648,28641
6.5704,28637
6.576,28636
6.5817,28638
6.587,28644
6.5927,28643
6.5983,28628
6.6037,28647
6.6093,28635
6.6149,28644
6.6205,28641
6.6258,28644
6.6315,28653
6.6371,28649
6.6428,28630
6.6484,28646
6.6537,28639
6.6594,28627
6.665,28633
6.6704,28641
6.676,28644
6.6816,28637
6.6869,28634
6.6926,28633
6.6982,28629
6.7038,28644
6.7092,28632
6.7148,28641
6.7205,28627
6.7261,28635
6.7315,28650
6.7371,28639
6.7427,28627
6.7483,28643
6.7537,28641
6.7593,28630
6.7649,28625
6.7703,28624
6.7759,28630
6.7815,28638
6.7872,28638
6.7925,28641
6.7981,28649
