Experiment: Feb_23_T2_chemo_expt vial 9, Tue Feb 23 14:55:02 2021
0.0047,28142
0.0107,28144
0.0163,28142
0.022,28152
0.0273,28142
0.033,28152
0.0386,28148
0.044,28142
0.0496,28144
0.0553,28145
0.0609,28141
0.0662,28137
0.0719,28142
0.0775,28150
0.0829,28146
0.0885,28141
0.0942,28144
0.0995,28147
0.1052,28149
0.1108,28146
0.1164,28154
0.1218,28158
0.1274,28153
0.1331,28150
0.1385,28157
0.1441,28155
0.1497,28163
0.1551,28161
0.1607,28166
0.1664,28158
0.1717,28148
0.1774,28146
0.183,28150
0.1886,28146
0.194,28152
0.1997,28158
0.2051,28150
0.2108,28156
0.2162,28152
0.2219,28155
0.2275,28156
0.2332,28150
0.2385,28152
0.2442,28160
0.2498,28154
0.2552,28147
0.2608,28157
0.2664,28147
0.2718,28144
0.2774,28154
0.2831,28152
0.2884,28155
0.2941,28151
0.2997,28145
0.3051,28148
0.3107,28147
0.3164,28147
0.322,28143
0.3274,28151
0.333,28144
0.3386,28140
0.344,28137
0.3496,28146
0.3553,28146
0.3606,28139
0.3663,28150
0.3719,28140
0.3775,28135
0.3829,28145
0.3886,28143
0.3942,28139
0.3996,28136
0.4052,28145
0.4109,28143
0.4162,28145
0.4219,28144
0.4275,28143
0.4332,28138
0.4385,28142
0.4442,28151
0.4498,28146
0.4552,28153
0.4608,28157
0.4665,28155
0.4718,28164
0.4775,28162
0.4829,28149
0.4885,28143
0.4941,28143
0.4998,28139
0.5051,28148
0.5108,28148
0.5164,28148
0.522,28146
0.5274,28143
0.533,28150
0.5387,28153
0.544,28149
0.5497,28153
0.5553,28151
0.5607,28153
0.5663,28148
0.5719,28153
0.5776,28157
0.5829,28159
0.5886,28155
0.5942,28155
0.5996,28154
0.6052,28159
0.6108,28151
0.6162,28146
0.6217,28156
0.6274,28155
0.633,28148
0.6386,28149
0.644,28158
0.6496,28158
0.6553,28155
0.6609,28155
0.6663,28152
0.6719,28158
0.6773,28163
0.683,28158
0.6886,28154
0.694,28148
0.6996,28146
0.7051,28144
0.7108,28143
0.7165,28152
0.7218,28154
0.7275,28145
0.7329,28155
0.7386,28154
0.7442,28149
0.7496,28151
0.7552,28151
0.7608,28153
0.7664,28148
0.7718,28144
0.7774,28139
0.7831,28139
0.7886,28147
0.7942,28146
0.7996,28155
0.8052,28149
0.8108,28144
0.8164,28151
0.822,28151
0.8274,28134
0.8331,28138
0.8384,28140
0.8441,28129
0.8497,28137
0.8554,28139
0.8607,28132
0.8664,28131
0.872,28138
0.8773,28152
0.883,28135
0.8886,28139
0.894,28143
0.8996,28147
0.9053,28142
0.9106,28141
0.9163,28145
0.9219,28136
0.9273,28134
0.933,28139
0.9386,28149
0.9443,28144
0.9496,28135
0.9552,28138
0.9609,28143
0.9662,28134
0.9719,28132
0.9775,28139
0.9829,28132
0.9885,28132
0.9942,28139
0.9998,28140
1.0052,28137
1.0109,28146
1.0162,28135
1.0219,28145
1.0275,28146
1.0329,28141
1.0385,28147
1.0442,28149
1.0495,28141
1.0552,28145
1.0608,28152
1.0662,28153
1.0719,28165
1.0775,28153
1.0829,28160
1.0885,28165
1.0942,28167
1.0995,28172
1.1052,28176
1.1108,28172
1.1162,28159
1.1219,28159
1.1275,28160
1.1331,28158
1.1385,28163
1.1441,28164
1.1498,28165
1.1551,28175
1.1608,28174
1.1664,28169
1.1718,28165
1.1774,28172
1.1831,28164
1.1885,28166
1.1941,28171
1.1997,28172
1.2051,28179
1.2107,28176
1.2164,28171
1.222,28176
1.2274,28171
1.233,28174
1.2387,28170
1.244,28174
1.2497,28177
1.2553,28172
1.2607,28171
1.2663,28165
1.2719,28169
1.2776,28168
1.2829,28171
1.2886,28165
1.2942,28161
1.2996,28169
1.3052,28172
1.3109,28171
1.3165,28175
1.3219,28167
1.3275,28176
1.3329,28173
1.3385,28173
1.3442,28180
1.3498,28183
1.3552,28178
1.3608,28176
1.3664,28175
1.3718,28180
1.3774,28185
1.383,28182
1.3884,28177
1.394,28176
1.3997,28168
1.4053,28167
1.411,28161
1.4163,28148
1.422,28162
1.4273,28166
1.433,28164
1.4386,28163
1.4442,28167
1.4496,28161
1.4553,28166
1.4606,28161
1.4663,28160
1.4719,28165
