Experiment: Mar_5_T2_Turb_expt vial 1, Fri Mar  5 18:09:41 2021
2.2213,28543
2.227,28541
2.2324,28537
2.2381,28539
2.2434,28539
2.2491,28532
2.2545,28540
2.2602,28540
2.2656,28520
2.2713,28534
2.277,28534
2.2824,28532
2.2881,28536
2.2935,28519
2.2992,28531
2.3045,28531
2.3102,28523
2.3156,28529
2.3213,28522
2.3267,28522
2.3324,28525
2.3378,28529
2.3435,28515
2.3489,28521
2.3546,28514
2.3603,28517
2.3657,28508
2.3713,28505
2.3767,28505
2.3824,28511
2.3878,28498
2.3935,28505
2.3992,28513
2.4046,28512
2.4103,28510
2.4157,28514
2.4213,28518
2.4267,28517
2.4324,28502
2.4378,28508
2.4435,28508
2.4492,28495
2.4546,28493
2.4603,28504
2.4657,28494
2.4714,28490
2.4768,28493
2.4825,28495
2.4879,28494
2.4936,28501
2.499,28495
2.5046,28489
2.51,28480
2.5157,28495
2.5214,28487
2.5268,28495
2.5325,28496
2.5379,28499
2.5436,28503
2.549,28500
2.5546,28485
2.5601,28487
2.5658,28475
2.5711,28486
2.5768,28482
2.5825,28475
2.5879,28482
2.5936,28480
2.599,28488
2.6047,28496
2.6101,28487
2.6158,28476
2.6212,28476
2.6267,28475
2.6323,28478
2.638,28476
2.6434,28481
2.6491,28468
2.6545,28476
2.6602,28478
2.6656,28482
2.6713,28473
2.677,28475
2.6823,28472
2.688,28472
2.6934,28451
2.6991,28471
2.7046,28468
2.7102,28469
2.7158,28472
2.7212,28462
2.7269,28468
2.7323,28467
2.738,28465
2.7434,28461
2.7491,28451
2.7546,28463
2.7602,28451
2.7657,28463
2.7713,28460
2.7768,28449
2.7824,28453
2.7881,28459
2.7935,28456
2.7992,28446
2.8046,28451
2.8103,28442
2.8157,28460
2.8214,28460
2.8268,28447
2.8325,28447
2.8379,28443
2.8436,28438
2.8492,28440
2.8546,28457
2.8603,28449
2.8657,28454
2.8714,28449
2.8768,28437
2.8825,28439
2.8879,28438
2.8936,28427
2.899,28430
2.9047,28441
2.9101,28438
2.9158,28433
2.9215,28432
2.9269,28433
2.9325,28436
2.9379,28436
2.9436,28442
2.949,28429
2.9547,28429
2.9601,28425
2.9659,28432
2.9712,28424
2.9769,28428
2.9823,28425
2.988,28391
2.9934,28420
2.9991,28413
3.0046,28413
3.0103,28411
3.0157,28403
3.0214,28409
3.0268,28417
3.0325,28415
3.0379,28406
3.0436,28426
3.0491,28405
3.0548,28397
3.0602,28411
3.0659,28397
3.0712,28402
3.077,28406
3.0824,28383
3.0881,28384
3.0935,28393
3.0991,28384
3.1046,28384
3.1102,28391
3.1156,28406
3.1213,28390
3.1267,28396
3.1324,28391
3.1381,28381
3.1435,28398
3.1489,28392
3.1546,28382
3.1601,28390
3.1657,28390
3.1714,28381
3.1768,28371
3.1825,28385
3.1879,28385
3.1936,28370
3.199,28383
3.2047,28376
3.2101,28383
3.2157,28364
3.2214,28377
3.2268,28357
3.2325,28369
3.2379,28353
3.2435,28369
3.2492,28358
3.2546,28363
3.2603,28368
3.2657,28360
3.2714,28343
3.2768,28362
3.2825,28354
3.2879,28347
3.2936,28351
3.299,28347
3.3047,28344
3.3101,28332
3.3158,28338
3.3212,28327
3.3269,28322
3.3323,28323
3.3381,28336
3.3435,28319
3.3491,28329
3.3545,28308
3.3601,28326
3.3658,28308
3.3712,28302
3.3769,28325
3.3824,28318
3.3881,28314
3.3935,28304
3.3992,28309
3.4046,28306
3.4103,28308
3.4157,28299
3.4214,28302
3.4268,28306
3.4323,28272
3.438,28270
3.4435,28281
3.4491,28291
3.4546,28273
3.4602,28262
3.4657,28251
3.4713,28270
3.4768,28264
