Experiment: Feb_22_tst2_chemo_expt vial 13, Mon Feb 22 14:12:52 2021
0.0055,0.9025993979557362
0.0115,0.9023246089096582
0.0168,0.8966356855314683
0.0225,0.8930105786999765
0.0278,0.8985688702816842
0.0335,0.8860006481051546
0.0389,0.8890564449246685
0.0446,0.8806133476558384
0.0502,0.8880575206219802
0.0556,0.887884882408593
0.0613,0.8909841007514858
0.0669,0.8814193435705319
0.0723,0.8830266307925158
0.0779,0.8738066931389961
0.0836,0.882039014373535
0.0889,0.8841213166178392
0.0946,0.8779360584429037
0.1002,0.8774936028172626
0.1056,0.880576160833099
0.1112,0.8801966325155324
0.1169,0.8762282769991461
0.1225,0.8773237024985312
0.1279,0.8794798541572364
0.1335,0.8821545274949036
0.1389,0.8720809092808284
0.1446,0.8804090162738754
0.1502,0.8838273607752203
0.1556,0.8810654273951831
0.1612,0.878292764942709
0.1669,0.8844483573350701
0.1744,0.8791440085197607
