Experiment: Feb_22_tst2_chemo_expt vial 1, Mon Feb 22 14:12:52 2021
0.0055,0.8956522403227088
0.0115,0.8976984873229394
0.0168,0.8946078955733676
0.0225,0.8814552303665042
0.0278,0.8854448379733748
0.0335,0.8802472782952896
0.0389,0.8820585328032111
0.0446,0.8866519672323181
0.0502,0.8856416841980719
0.0556,0.8846425813030102
0.0613,0.8805437186779083
0.0669,0.8711975069823661
0.0723,0.8788674295123519
0.0779,0.8809937140264419
0.0836,0.8786496276208926
0.0889,0.8747718617660809
0.0946,0.8749032852246484
0.1002,0.8762403621298351
0.1056,0.8791283099568081
0.1112,0.874301478448525
0.1169,0.877016079276574
0.1225,0.8769750311403658
0.1279,0.8757083649892117
0.1335,0.8827352177990927
0.1389,0.8772921488707965
0.1446,0.876950448415676
0.1502,0.8804365058943294
0.1556,0.8790033312716248
0.1612,0.8818531700137269
0.1669,0.8814657386910002
0.1744,0.8832968048974099
