Experiment: April_27_Phage_Osmo_expt vial 11, Tue Apr 27 19:11:23 2021
2.2272,56228
2.2328,56226
2.2382,56232
2.2438,56230
2.2495,56229
2.2548,56232
2.2604,56234
2.2661,56229
2.2717,56230
2.2771,56231
2.2827,56229
2.2884,56233
2.2937,56232
2.2994,56231
2.305,56228
2.3104,56236
2.316,56236
2.3216,56231
2.3273,56231
2.3326,56238
2.3383,56235
2.3439,56235
2.3493,56235
2.3549,56230
2.3605,56236
2.3659,56233
2.3715,56230
2.3772,56233
2.3828,56234
2.3882,56237
2.3937,56235
2.3994,56233
2.405,56236
2.4104,56231
2.416,56237
2.4215,56232
2.4272,56234
2.4328,56233
2.4381,56237
2.4438,56233
2.4493,56234
2.455,56235
2.4606,56236
2.466,56235
2.4716,56237
2.4771,56231
2.4828,56237
2.4881,56234
2.4938,56229
2.4994,56233
2.505,56234
2.5106,56236
2.516,56232
2.5216,56232
2.5273,56234
2.5326,56231
2.5383,56234
2.5439,56236
2.5493,56232
2.5549,56235
2.5605,56235
2.5662,56230
2.5715,56237
2.5772,56237
2.5828,56234
2.5881,56236
2.5938,56238
2.5994,56231
2.6051,56231
2.6105,56236
2.6161,56236
2.6217,56231
2.6271,56234
2.6327,56234
2.6384,56229
2.6437,56235
2.6493,56237
2.655,56230
2.6603,56230
2.666,56238
2.6716,56229
2.6773,56230
2.6826,56235
2.6883,56234
2.6939,56236
2.6993,56235
2.7049,56234
2.7105,56236
2.7159,56234
2.7215,56234
2.7272,56236
2.7328,56235
2.7381,56235
2.7438,56228
2.7494,56231
2.7548,56244
2.7604,56234
2.7661,56233
2.7717,56237
2.7771,56235
2.7827,56234
2.7883,56235
2.7937,56234
2.7993,56232
2.805,56234
2.8106,56237
2.816,56229
2.8216,56237
2.8272,56235
2.8326,56235
2.8382,56233
2.8439,56240
2.8495,56234
2.8549,56238
2.8605,56234
2.8661,56234
2.8715,56234
2.8771,56233
2.8828,56241
2.8884,56235
2.8938,56234
2.8994,56236
2.905,56236
2.9104,56238
2.9161,56232
2.9217,56235
2.9271,56234
2.9327,56236
2.9383,56239
2.9437,56236
2.9493,56234
2.955,56234
2.9606,56238
2.9659,56231
2.9716,56239
2.9772,56235
2.9828,56233
2.9882,56235
2.9938,56236
2.9995,56234
3.0049,56227
3.0105,56234
3.0159,56235
3.0215,56231
3.0272,56237
3.0328,56233
3.0382,56232
3.0438,56234
3.0494,56236
3.0548,56231
3.0605,56234
3.0661,56235
3.0717,56229
3.0771,56234
3.0827,56235
3.0883,56234
3.0937,56236
3.0993,56233
3.105,56239
3.1106,56235
3.116,56234
3.1216,56232
3.1273,56235
3.1326,56235
3.1383,56236
3.1439,56234
3.1493,56236
3.1549,56236
3.1606,56235
3.1662,56238
3.1716,56233
3.1772,56235
3.1829,56238
3.1882,56229
3.1939,56233
3.1995,56233
3.2049,56234
3.2105,56232
3.2161,56233
3.2215,56233
3.2271,56233
3.2328,56233
3.2384,56236
3.2438,56232
3.2494,56231
3.2551,56234
3.2604,56233
3.2661,56230
3.2717,56235
3.2771,56236
3.2828,56231
3.2884,56233
3.2938,56233
3.2994,56231
