Experiment: Feb_19_eric7_chem_expt vial 6, Thu Feb 18 15:47:28 2021
0.0023,28284
0.0072,28289
0.0125,28291
0.0182,28299
0.0236,28293
0.0292,28289
0.0349,28294
0.0403,28298
0.046,28278
0.0516,28290
0.057,28283
0.0627,28290
0.0681,28286
0.0737,28280
0.0794,28277
0.0848,28289
0.0905,28284
0.0959,28286
0.1015,28291
0.1072,28303
0.1126,28289
0.1182,28296
0.1236,28290
0.1293,28295
0.135,28287
0.1403,28287
0.1459,28286
0.1516,28281
0.157,28287
0.1627,28286
0.1681,28293
0.1738,28286
0.1849,28301
0.1905,28297
0.196,28300
0.4459,28272
0.4516,28290
0.457,28271
0.4627,28280
0.4681,28282
0.4738,28278
0.4792,28287
0.4849,28281
0.4906,28282
0.496,28284
0.5016,28289
0.507,28298
