Experiment: Feb_19_eric7_chem_expt vial 1, Thu Feb 18 15:47:28 2021
0.0023,28773
0.0072,28774
0.0125,28774
0.0182,28776
0.0236,28781
0.0292,28784
0.0349,28787
0.0403,28786
0.046,28773
0.0516,28779
0.057,28781
0.0627,28783
0.0681,28784
0.0737,28777
0.0794,28779
0.0848,28776
0.0905,28782
0.0959,28783
0.1015,28781
0.1072,28780
0.1126,28779
0.1182,28780
0.1236,28776
0.1293,28772
0.135,28784
0.1403,28776
0.1459,28774
0.1516,28783
0.157,28776
0.1627,28774
0.1681,28769
0.1738,28774
0.1849,28777
0.1905,28775
0.196,28778
0.4459,28782
0.4516,28781
0.457,28783
0.4627,28781
0.4681,28782
0.4738,28784
0.4792,28782
0.4849,28779
0.4906,28773
0.496,28771
0.5016,28770
0.507,28778
