Experiment: Feb_19_eric7_chem_expt vial 12, Thu Feb 18 15:47:28 2021
0.0023,28732
0.0072,28727
0.0125,28730
0.0182,28730
0.0236,28721
0.0292,28721
0.0349,28720
0.0403,28722
0.046,28708
0.0516,28711
0.057,28712
0.0627,28711
0.0681,28714
0.0737,28712
0.0794,28720
0.0848,28719
0.0905,28716
0.0959,28714
0.1015,28711
0.1072,28708
0.1126,28711
0.1182,28709
0.1236,28705
0.1293,28711
0.135,28704
0.1403,28706
0.1459,28701
0.1516,28707
0.157,28700
0.1627,28704
0.1681,28703
0.1738,28710
0.1849,28717
0.1905,28723
0.196,28723
0.4459,28691
0.4516,28702
0.457,28697
0.4627,28697
0.4681,28693
0.4738,28696
0.4792,28710
0.4849,28712
0.4906,28705
0.496,28698
0.5016,28712
0.507,28711
