Experiment: Feb_19_eric7_chem_expt vial 13, Thu Feb 18 15:47:28 2021
0.0023,28831
0.0072,28824
0.0125,28827
0.0182,28820
0.0236,28820
0.0292,28817
0.0349,28816
0.0403,28816
0.046,28808
0.0516,28811
0.057,28814
0.0627,28814
0.0681,28815
0.0737,28812
0.0794,28814
0.0848,28818
0.0905,28814
0.0959,28813
0.1015,28806
0.1072,28806
0.1126,28811
0.1182,28810
0.1236,28808
0.1293,28809
0.135,28806
0.1403,28811
0.1459,28806
0.1516,28804
0.157,28808
0.1627,28806
0.1681,28807
0.1738,28809
0.1849,28811
0.1905,28816
0.196,28818
0.4459,28798
0.4516,28803
0.457,28804
0.4627,28803
0.4681,28802
0.4738,28805
0.4792,28820
0.4849,28823
0.4906,28812
0.496,28814
0.5016,28821
0.507,28823
