Experiment: Feb_19_eric7_chem_expt vial 7, Thu Feb 18 15:47:28 2021
0.0023,28674
0.0072,28670
0.0125,28678
0.0182,28680
0.0236,28678
0.0292,28683
0.0349,28682
0.0403,28691
0.046,28684
0.0516,28682
0.057,28680
0.0627,28683
0.0681,28679
0.0737,28674
0.0794,28677
0.0848,28681
0.0905,28681
0.0959,28684
0.1015,28675
0.1072,28684
0.1126,28683
0.1182,28681
0.1236,28675
0.1293,28688
0.135,28686
0.1403,28690
0.1459,28680
0.1516,28680
0.157,28672
0.1627,28675
0.1681,28676
0.1738,28678
0.1849,28681
0.1905,28685
0.196,28678
0.4459,28667
0.4516,28666
0.457,28664
0.4627,28671
0.4681,28674
0.4738,28668
0.4792,28662
0.4849,28664
0.4906,28649
0.496,28660
0.5016,28658
0.507,28660
