Experiment: Feb_5_Batch_expt_zeroed vial 0, Fri Feb  5 18:54:24 2021
0.0037,53827
0.0094,53816
0.0147,53852
0.0204,53865
0.026,53871
0.0314,53858
0.0371,53898
0.0428,53894
0.0481,53912
0.0538,53918
0.0594,53930
0.0648,53939
0.0705,53962
0.0758,53955
0.0815,53973
0.0871,53983
0.0925,53943
0.0982,53975
0.1038,53973
0.1092,54004
0.1149,53965
0.1205,53972
0.1259,53992
0.1315,54004
0.1372,53980
0.1426,53980
0.1482,53987
0.1538,53984
0.1592,53965
0.1649,53965
0.1702,53982
0.1759,53954
0.1815,53967
0.1872,53961
0.1926,53957
0.1982,53952
0.2039,53978
0.2093,53947
0.2149,53972
0.2203,53954
