Experiment: Feb_5_Batch_expt_zeroed vial 7, Fri Feb  5 18:54:24 2021
0.0037,50879
0.0094,50903
0.0147,50936
0.0204,50955
0.026,50939
0.0314,50971
0.0371,51010
0.0428,51004
0.0481,51012
0.0538,51028
0.0594,51003
0.0648,51047
0.0705,51067
0.0758,51078
0.0815,51122
0.0871,51106
0.0925,51093
0.0982,51093
0.1038,51108
0.1092,51106
0.1149,51141
0.1205,51144
0.1259,51137
0.1315,51167
0.1372,51164
0.1426,51152
0.1482,51163
0.1538,51118
0.1592,51133
0.1649,51160
0.1702,51126
0.1759,51121
0.1815,51126
0.1872,51122
0.1926,51076
0.1982,51098
0.2039,51112
0.2093,51097
0.2149,51080
0.2203,51053
