Experiment: Feb_5_Batch_expt_zeroed vial 4, Fri Feb  5 18:54:24 2021
0.0037,53495
0.0094,53530
0.0147,53521
0.0204,53549
0.026,53533
0.0314,53561
0.0371,53573
0.0428,53586
0.0481,53616
0.0538,53615
0.0594,53618
0.0648,53628
0.0705,53642
0.0758,53656
0.0815,53644
0.0871,53645
0.0925,53661
0.0982,53642
0.1038,53666
0.1092,53622
0.1149,53631
0.1205,53550
0.1259,53509
0.1315,53660
0.1372,53522
0.1426,53553
0.1482,53592
0.1538,53565
0.1592,53500
0.1649,53583
0.1702,53564
0.1759,53492
0.1815,53493
0.1872,53577
0.1926,53422
0.1982,53505
0.2039,53495
0.2093,53455
0.2149,53477
0.2203,53456
