Experiment: Feb_5_Batch_expt_zeroed vial 2, Fri Feb  5 18:54:24 2021
0.0037,53320
0.0094,53335
0.0147,53336
0.0204,53373
0.026,53347
0.0314,53378
0.0371,53385
0.0428,53409
0.0481,53404
0.0538,53408
0.0594,53438
0.0648,53451
0.0705,53434
0.0758,53463
0.0815,53462
0.0871,53482
0.0925,53484
0.0982,53471
0.1038,53495
0.1092,53502
0.1149,53493
0.1205,53477
0.1259,53494
0.1315,53491
0.1372,53482
0.1426,53462
0.1482,53482
0.1538,53468
0.1592,53472
0.1649,53410
0.1702,53440
0.1759,53395
0.1815,53356
0.1872,53430
0.1926,53334
0.1982,53427
0.2039,53418
0.2093,53305
0.2149,53388
0.2203,53271
