Experiment: Feb_5_Batch_expt_zeroed vial 1, Fri Feb  5 18:54:24 2021
0.0037,51165
0.0094,51224
0.0147,51195
0.0204,51231
0.026,51241
0.0314,51235
0.0371,51250
0.0428,51290
0.0481,51290
0.0538,51293
0.0594,51294
0.0648,51300
0.0705,51343
0.0758,51326
0.0815,51350
0.0871,51347
0.0925,51345
0.0982,51321
0.1038,51327
0.1092,51326
0.1149,51314
0.1205,51340
0.1259,51325
0.1315,51352
0.1372,51333
0.1426,51340
0.1482,51339
0.1538,51315
0.1592,51317
0.1649,51321
0.1702,51317
0.1759,51321
0.1815,51264
0.1872,51255
0.1926,51261
0.1982,51250
0.2039,51235
0.2093,51218
0.2149,51202
0.2203,51209
