Experiment: Feb_5_Batch_expt_zeroed vial 12, Fri Feb  5 18:54:24 2021
0.0037,54707
0.0094,54761
0.0147,54758
0.0204,54808
0.026,54728
0.0314,54786
0.0371,54691
0.0428,54755
0.0481,54752
0.0538,54775
0.0594,54775
0.0648,54801
0.0705,54779
0.0758,54802
0.0815,54783
0.0871,54823
0.0925,54854
0.0982,54786
0.1038,54844
0.1092,54775
0.1149,54834
0.1205,54806
0.1259,54896
0.1315,54894
0.1372,54852
0.1426,54849
0.1482,54903
0.1538,54896
0.1592,54836
0.1649,54866
0.1702,54929
0.1759,54818
0.1815,54817
0.1872,54883
0.1926,54862
0.1982,54820
0.2039,54865
0.2093,54788
0.2149,54878
0.2203,54936
