Experiment: Feb_5_Batch_expt_zeroed vial 6, Fri Feb  5 18:54:24 2021
0.0037,52931
0.0094,52942
0.0147,52938
0.0204,52974
0.026,52955
0.0314,52977
0.0371,52986
0.0428,53012
0.0481,53017
0.0538,52998
0.0594,53023
0.0648,53031
0.0705,53038
0.0758,53040
0.0815,53067
0.0871,53077
0.0925,53077
0.0982,53102
0.1038,53082
0.1092,53097
0.1149,53085
0.1205,53107
0.1259,53121
0.1315,53105
0.1372,53134
0.1426,53061
0.1482,53094
0.1538,53048
0.1592,53093
0.1649,53027
0.1702,52899
0.1759,52918
0.1815,53062
0.1872,52949
0.1926,52785
0.1982,52860
0.2039,52921
0.2093,53038
0.2149,52852
0.2203,52856
