Experiment: Feb_5_Batch_expt_zeroed vial 9, Fri Feb  5 18:54:24 2021
0.0037,48940
0.0094,48867
0.0147,48862
0.0204,48873
0.026,48926
0.0314,48903
0.0371,48933
0.0428,48930
0.0481,48944
0.0538,48946
0.0594,48950
0.0648,48964
0.0705,48974
0.0758,48998
0.0815,48988
0.0871,49000
0.0925,49026
0.0982,49021
0.1038,49061
0.1092,49070
0.1149,49048
0.1205,49043
0.1259,49053
0.1315,49076
0.1372,49077
0.1426,49088
0.1482,49077
0.1538,49059
0.1592,49106
0.1649,49069
0.1702,49065
0.1759,49031
0.1815,49024
0.1872,49007
0.1926,48994
0.1982,48963
0.2039,48924
0.2093,48945
0.2149,48951
0.2203,48975
