Experiment: Feb_5_Batch_expt_zeroed vial 15, Fri Feb  5 18:54:24 2021
0.0037,49764
0.0094,49794
0.0147,49796
0.0204,49822
0.026,49811
0.0314,49837
0.0371,49835
0.0428,49851
0.0481,49841
0.0538,49840
0.0594,49868
0.0648,49860
0.0705,49891
0.0758,49896
0.0815,49914
0.0871,49876
0.0925,49891
0.0982,49927
0.1038,49918
0.1092,49940
0.1149,49919
0.1205,49929
0.1259,49972
0.1315,49945
0.1372,49938
0.1426,49962
0.1482,49978
0.1538,49962
0.1592,49942
0.1649,49936
0.1702,49969
0.1759,49962
0.1815,49953
0.1872,49972
0.1926,49965
0.1982,49926
0.2039,49936
0.2093,49943
0.2149,49931
0.2203,49938
