Experiment: Apr28_cal_tst_expt vial 9, Thu Apr 28 17:02:30 2022
0.0027,28333
0.0078,28325
0.0131,28339
0.0188,28338
0.0244,28339
0.03,28316
0.0354,28333
0.041,28323
0.0466,28308
0.052,28323
0.0576,28315
0.0632,28320
0.0689,28314
0.0742,28313
0.0799,28264
0.0855,28239
0.0911,28311
0.0964,28310
0.1021,28300
0.1077,28310
0.1134,28309
0.1187,28307
0.1243,28304
0.1299,28315
0.1356,28311
0.1409,28339
0.1465,28361
0.1521,28359
0.1577,28314
0.1633,28360
0.1687,28357
0.1743,28355
0.1799,28357
0.1855,28313
0.1909,28338
0.1965,28328
0.2022,28321
0.2078,28335
0.2131,28348
0.2188,28346
0.2244,28350
0.23,28349
0.2354,28337
0.241,28345
0.2467,28351
0.252,28347
0.2577,28339
0.2633,28359
0.2689,28355
0.2743,28356
0.2799,28363
0.2855,28363
0.2911,28360
0.2965,28362
0.3021,28371
0.3078,28341
0.3134,28355
0.3187,28368
0.3243,28353
0.33,28363
0.3353,28369
0.341,28328
0.3466,28348
0.3522,28353
0.3576,28358
0.3632,28364
0.3688,28365
0.3745,28364
0.3798,28365
0.3854,28354
0.391,28353
0.3967,28359
0.4023,28360
0.4076,28355
0.4133,28353
0.4189,28350
0.4243,28363
0.4299,28364
0.4355,28315
0.4409,28363
0.4465,28367
0.4521,28364
0.4578,28366
0.4631,28370
0.4688,28365
0.4744,28375
0.48,28363
0.4854,28370
0.491,28374
0.4966,28373
0.5022,28364
0.5076,28365
0.5132,28373
0.5188,28381
0.5245,28374
0.5298,28366
0.5354,28382
0.541,28378
0.5467,28376
0.552,28371
0.5576,28383
0.5633,28381
0.5689,28357
0.5742,28375
0.5799,28379
0.5854,28382
0.591,28375
0.5966,28381
0.6022,28373
0.6076,28374
0.6132,28375
0.6188,28378
0.6244,28385
0.63,28382
0.6354,28384
0.641,28386
0.6466,28382
0.6522,28379
0.6576,28384
0.6632,28380
0.6688,28378
0.6744,28386
0.6798,28386
0.6854,28392
0.691,28390
0.6966,28388
0.7022,28383
0.7076,28328
0.7132,28372
0.7188,28359
0.7244,28390
0.73,28387
0.7354,28382
0.741,28293
0.7467,28400
0.7522,28390
0.7576,28387
0.7632,28392
0.7688,28399
0.7744,28395
0.7798,28402
0.7854,28390
0.791,28392
0.7966,28401
0.8023,28394
0.8076,28404
0.8132,28372
0.8188,28400
0.8245,28399
0.8298,28398
0.8354,28375
0.8411,28405
0.8467,28403
0.852,28399
0.8576,28376
0.8633,28403
0.8689,28411
0.8742,28408
0.8799,28404
0.8855,28412
0.8911,28410
0.8967,28376
0.9021,28406
0.9077,28409
0.9133,28410
0.919,28359
0.9243,28403
0.9299,28410
0.9355,28398
0.9409,28402
0.9465,28413
0.9522,28419
0.9578,28423
0.9631,28417
0.9688,28421
0.9744,28422
0.98,28414
0.9854,28421
0.991,28403
0.9966,28425
1.0022,28420
1.0076,28423
1.0133,28420
1.0188,28405
1.0244,28425
1.0298,28424
1.0354,28425
1.041,28431
1.0467,28381
1.052,28411
