Experiment: Feb_23_chemo_expt vial 1, Tue Feb 23 14:42:27 2021
0.0045,1627
0.0102,1624
0.0159,1628
0.0215,1633
0.0269,1630
0.0325,1625
0.0382,1630
0.0435,1632
0.0492,1626
0.0548,1626
0.0604,1633
0.0658,1632
0.0714,1627
0.0771,1629
0.0825,1634
0.0881,1628
0.0937,1627
0.0991,1630
0.1047,1631
0.1104,1627
0.1157,1632
0.1214,1631
0.127,1627
0.1327,1628
0.138,1630
0.1437,1626
0.1493,1629
0.1547,1630
0.1603,1627
0.166,1630
0.1713,1631
0.177,1627
0.1824,1630
0.188,1630
0.1936,1627
0.1993,1627
