Experiment: Apr29_heat_tst_expt vial 1, Fri Apr 29 15:10:13 2022
0.0028,28674
0.0084,28681
0.0141,28678
0.0194,28683
0.0251,28699
0.0307,28706
0.0361,28719
0.0417,28731
0.0474,28726
0.0528,28725
0.0584,28727
0.0641,28751
0.0695,28735
0.0751,28736
0.0808,28743
0.0861,28737
0.0918,28733
0.0972,28750
0.1028,28758
0.1085,28760
0.1138,28763
0.1195,28763
0.1252,28765
0.1306,28767
0.1362,28764
0.1419,28766
0.1472,28757
0.1529,28749
0.1583,28753
0.1639,28743
0.1696,28738
0.175,28754
0.1806,28741
0.1863,28761
0.1917,28754
0.1973,28741
0.203,28753
0.2084,28768
0.2139,28771
0.2196,28752
0.225,28764
0.2306,28772
0.2363,28774
0.2417,28767
0.2473,28775
0.253,28779
0.2583,28778
0.264,28772
0.2696,28762
0.2751,28755
