Experiment: Apr29_heat_tst_expt vial 11, Fri Apr 29 15:10:13 2022
0.0028,101
0.0084,106
0.0141,108
0.0194,101
0.0251,106
0.0307,105
0.0361,106
0.0417,102
0.0474,105
0.0528,103
0.0584,105
0.0641,107
0.0695,103
0.0751,106
0.0808,104
0.0861,99
0.0918,103
0.0972,106
0.1028,103
0.1085,102
0.1138,105
0.1195,105
0.1252,105
0.1306,105
0.1362,106
0.1419,106
0.1472,104
0.1529,103
0.1583,101
0.1639,105
0.1696,104
0.175,107
0.1806,105
0.1863,107
0.1917,106
0.1973,107
0.203,106
0.2084,104
0.2139,103
0.2196,106
0.225,103
0.2306,105
0.2363,107
0.2417,102
0.2473,107
0.253,104
0.2583,103
0.264,106
0.2696,103
0.2751,105
