Experiment: Apr29_heat_tst_expt vial 8, Fri Apr 29 15:10:13 2022
0.0028,103
0.0084,103
0.0141,104
0.0194,104
0.0251,102
0.0307,106
0.0361,104
0.0417,104
0.0474,103
0.0528,104
0.0584,107
0.0641,105
0.0695,104
0.0751,107
0.0808,109
0.0861,98
0.0918,100
0.0972,104
0.1028,103
0.1085,105
0.1138,104
0.1195,104
0.1252,103
0.1306,103
0.1362,106
0.1419,105
0.1472,107
0.1529,103
0.1583,102
0.1639,106
0.1696,103
0.175,105
0.1806,104
0.1863,105
0.1917,103
0.1973,109
0.203,106
0.2084,107
0.2139,105
0.2196,107
0.225,106
0.2306,106
0.2363,103
0.2417,106
0.2473,106
0.253,108
0.2583,102
0.264,101
0.2696,105
0.2751,104
