Experiment: Apr29_heat_tst_expt vial 12, Fri Apr 29 15:10:13 2022
0.0028,102
0.0084,103
0.0141,106
0.0194,104
0.0251,104
0.0307,106
0.0361,105
0.0417,100
0.0474,104
0.0528,102
0.0584,105
0.0641,105
0.0695,105
0.0751,103
0.0808,103
0.0861,96
0.0918,103
0.0972,104
0.1028,103
0.1085,103
0.1138,104
0.1195,105
0.1252,107
0.1306,102
0.1362,107
0.1419,105
0.1472,106
0.1529,101
0.1583,103
0.1639,103
0.1696,102
0.175,104
0.1806,104
0.1863,108
0.1917,104
0.1973,108
0.203,104
0.2084,107
0.2139,104
0.2196,105
0.225,102
0.2306,104
0.2363,110
0.2417,104
0.2473,106
0.253,105
0.2583,106
0.264,107
0.2696,105
0.2751,106
