Experiment: Apr24_2022_tst_expt vial 14, Sun Apr 24 16:07:10 2022
0.0019,29459
0.0065,29456
0.0119,29464
0.0175,29459
0.0232,29457
0.0288,29450
0.0342,29444
0.0398,29440
0.0455,29432
0.0508,29423
0.0565,29416
0.0621,29409
0.0675,29405
0.0731,29401
0.0787,29391
0.0844,29393
0.0897,29392
0.0954,29389
0.101,29383
0.1063,29378
0.112,29374
0.1176,29375
0.1232,29378
0.1286,29377
0.1342,29381
0.1399,29373
0.1455,29373
0.1509,29380
0.1565,29382
0.1621,29382
0.1675,29381
0.1731,29382
0.1786,29384
0.1843,29388
0.1896,29389
0.1953,29388
0.2009,29390
0.2066,29402
0.2119,29412
0.2176,29411
0.2232,29415
0.2286,29417
0.2342,29315
0.2398,29417
0.2454,29403
0.2508,29379
0.2564,29358
0.2621,29311
0.2677,29341
0.2731,29348
0.2787,29355
0.2843,29359
0.2897,29362
0.2953,29370
0.3008,29377
0.3065,29382
0.3121,29390
0.3175,29404
0.3231,29413
0.3287,29524
0.3344,29309
0.3398,29290
0.3452,29294
0.3508,29306
0.3565,29301
0.3621,29304
0.3675,29301
0.373,29301
0.3787,29302
0.3843,29303
0.3899,29301
0.3953,29302
0.4009,29302
0.4066,29289
0.4119,29298
0.4176,29296
0.423,29302
0.4287,29301
0.4343,29296
0.4397,29300
0.4453,29297
0.4509,29297
0.4566,29301
0.4619,29305
0.4676,29301
0.4732,29309
0.4788,29311
0.4842,29306
0.4898,29305
0.4955,29299
0.5008,29299
0.5065,29301
0.5121,29294
0.5177,29286
0.5231,29125
0.5287,29122
0.5344,29380
0.5397,29398
0.5454,29385
0.551,29396
0.5564,29392
0.562,29391
0.5677,29395
0.573,29392
0.5787,29394
0.5843,29399
0.5899,29391
0.5953,29386
0.6009,29389
0.6066,29395
0.6119,29398
0.6176,29389
0.6232,29388
0.6288,29390
0.6342,29392
0.6398,29393
0.6455,29390
0.6508,29389
0.6565,29393
0.6621,29385
0.6675,29387
0.6732,29391
0.6789,29394
0.6843,29391
0.6897,29384
0.6953,29381
0.7009,29387
0.7064,29388
0.712,29387
0.7177,29381
0.723,29363
0.7287,29392
0.7342,29401
0.7398,29392
0.7452,29385
0.7508,29394
0.7564,29393
0.762,29393
0.7675,29390
0.7731,29381
0.7787,29382
0.7844,29383
0.7897,29379
0.7954,29375
0.801,29379
0.8064,29388
0.8121,29384
0.8176,29381
