Experiment: Mar_23_T2_osmo_expt vial 7, Tue Mar 23 18:19:48 2021
0.0016,169
0.0069,165
0.0125,171
0.0179,170
0.0235,167
0.0292,169
0.0348,169
0.0401,168
0.0458,168
0.0514,171
0.057,167
0.0624,168
0.068,168
0.0736,169
0.0793,168
0.0846,169
0.0902,171
0.0959,172
0.1015,173
0.1068,171
0.1124,172
0.1181,169
0.1234,170
0.129,170
0.1346,168
0.1403,170
0.1459,169
0.1512,170
0.1569,169
0.1625,171
0.1681,168
0.1735,170
0.1791,170
0.1847,169
0.1904,171
0.1957,168
0.2013,169
0.207,170
0.2123,166
0.2179,171
0.2236,167
0.2292,169
0.2346,171
0.2401,168
0.2457,169
0.2514,169
0.257,169
0.2623,171
0.2679,167
0.2735,171
0.2792,171
0.2848,171
0.2901,170
0.2957,169
0.3014,173
0.307,171
0.3123,173
0.318,170
0.3235,170
0.3292,169
0.3348,170
0.3401,170
0.3458,170
0.3513,168
0.357,170
0.3623,171
0.368,169
0.3736,170
0.3792,168
0.3848,170
0.3901,169
0.3958,170
0.4014,170
0.407,166
0.4126,169
0.4179,171
0.4236,168
0.4292,170
0.4348,172
0.4401,170
0.4458,170
0.4514,172
0.4568,168
0.4624,169
0.468,169
0.4737,169
0.479,169
0.4846,168
0.4903,168
0.4959,171
0.5012,170
0.5069,169
0.5125,169
0.5181,171
0.5234,171
0.5291,167
0.5347,171
0.5401,170
0.5458,167
0.5514,167
0.557,170
0.5623,169
0.568,172
0.5736,169
0.5792,172
0.5846,171
0.5902,171
0.5959,170
0.6015,168
0.6068,173
0.6125,169
0.6181,171
0.6237,169
0.629,170
0.6347,167
0.6403,168
0.6457,167
0.6513,170
0.6569,169
0.6625,172
0.6679,170
0.6735,170
0.6791,171
0.6847,171
0.6901,170
0.6957,169
0.7013,170
0.7069,171
0.7125,171
0.7179,172
0.7235,169
0.7291,171
0.7348,169
0.7401,168
0.7457,171
0.7514,173
0.757,170
0.7623,170
0.768,169
0.7736,168
0.7792,169
0.7846,171
0.7902,170
0.7958,168
0.8015,169
0.8068,169
0.8124,170
0.8181,169
0.8234,170
0.829,169
0.8347,171
0.8403,170
0.8459,168
0.8513,167
0.8569,169
0.8625,171
0.8679,171
0.8735,169
0.8792,170
0.8848,170
0.8902,166
0.8958,171
0.9014,168
0.9068,170
0.9124,169
0.9181,171
0.9237,169
