Experiment: Mar_1_Turb_expt vial 10, Mon Mar  1 18:39:12 2021
0.0038,1632
0.0094,1628
0.0151,1626
0.0204,1618
0.0261,1618
0.0318,1620
0.0372,1617
0.0429,1620
0.0482,1617
0.0539,1619
0.0595,1618
0.065,1619
0.0707,1617
0.0766,1618
0.0817,1627
0.0873,1628
0.0927,1619
0.0984,1616
0.104,1619
0.1094,1617
0.115,1620
0.1207,1615
0.126,1624
0.1317,1616
0.1373,1621
0.143,1616
0.1483,1619
0.154,1616
0.1594,1621
0.165,1615
0.1707,1619
0.1761,1617
0.1817,1620
0.1874,1617
0.1928,1618
0.1985,1615
0.2039,1622
0.2096,1613
0.215,1620
0.2205,1616
0.2261,1618
0.2315,1615
0.2373,1620
0.2427,1615
0.2483,1621
0.254,1617
0.2594,1620
0.265,1616
0.2707,1620
0.2761,1615
0.2817,1622
0.2874,1617
0.2927,1619
0.2984,1616
0.304,1620
0.3094,1617
0.3151,1620
0.3207,1617
0.3261,1621
0.3317,1618
0.3374,1621
0.3427,1615
0.3484,1620
0.354,1615
0.3594,1620
0.365,1615
0.3707,1618
0.3761,1619
0.3817,1619
0.3874,1618
0.3927,1618
0.3984,1618
0.404,1619
0.4094,1616
0.415,1619
0.4207,1616
0.426,1619
0.4317,1616
0.4373,1622
0.4429,1616
0.4483,1619
0.4539,1616
0.4596,1621
0.465,1615
0.4706,1620
0.476,1616
0.4817,1619
0.4873,1618
0.4929,1619
0.4983,1616
0.504,1620
0.5096,1619
0.515,1618
0.5206,1619
0.5263,1618
0.5316,1619
0.5373,1617
0.5429,1620
0.5483,1618
0.5539,1620
0.5596,1618
0.5649,1621
0.5706,1616
0.5762,1621
0.5819,1615
0.5872,1622
0.5929,1615
0.5982,1619
0.6039,1618
0.6095,1621
0.6152,1616
0.6205,1619
0.6262,1616
0.6318,1620
0.6372,1619
0.6428,1620
0.6485,1619
0.6539,1617
0.6594,1618
0.665,1616
0.6706,1618
0.6763,1617
0.6817,1617
0.6872,1617
0.6928,1617
0.6985,1620
0.7038,1617
0.7095,1619
0.715,1619
0.7206,1620
0.7263,1615
0.7316,1620
0.7373,1619
0.7428,1618
0.7484,1620
0.7541,1618
0.7594,1618
0.7651,1615
0.7706,1619
0.7763,1616
0.7816,1618
0.7873,1615
0.7929,1620
0.7983,1614
0.8039,1620
0.8096,1617
0.8152,1619
0.8206,1618
0.8262,1621
0.8316,1615
0.8372,1621
0.8429,1616
0.8485,1621
0.8539,1616
0.8595,1620
0.8649,1617
0.8706,1618
0.8762,1619
0.8818,1618
0.8872,1619
0.8928,1617
0.8985,1619
0.9039,1616
0.9095,1620
0.9152,1616
0.9205,1620
0.9262,1619
0.9318,1618
0.9372,1616
0.9428,1617
0.9485,1620
0.9539,1616
0.9595,1620
0.9652,1616
0.9705,1620
0.9762,1617
0.9818,1620
0.9872,1616
0.9928,1622
0.9985,1619
1.0039,1618
1.0095,1617
1.0151,1617
1.0208,1618
1.0261,1616
1.0318,1619
1.0372,1618
1.0428,1620
1.0485,1619
1.0539,1618
1.0595,1616
1.0651,1620
1.0705,1615
1.0761,1620
1.0818,1616
1.0872,1620
1.0928,1618
1.0985,1621
1.1038,1618
1.1095,1619
1.1151,1618
1.1205,1617
1.1261,1620
1.1318,1617
1.1371,1621
1.1428,1616
1.1484,1621
1.1541,1616
1.1594,1621
1.1651,1617
1.1705,1619
1.1761,1617
1.1818,1619
1.1874,1617
1.1928,1621
1.1984,1616
1.2041,1619
1.2095,1617
1.2151,1619
1.2205,1617
1.2262,1618
1.2318,1617
1.2372,1617
1.2428,1618
1.2485,1618
1.2538,1618
1.2595,1616
1.2651,1617
1.2705,1617
1.2762,1619
1.2818,1616
1.2874,1619
1.2928,1619
1.2984,1619
1.3038,1618
1.3095,1617
1.3151,1620
1.3208,1617
1.3261,1620
1.3318,1615
1.3374,1618
1.3428,1618
1.3484,1616
1.3541,1618
1.3594,1619
1.3651,1618
1.3707,1617
1.3761,1620
1.3818,1617
1.3871,1619
1.3928,1617
1.3984,1619
1.4041,1616
1.4094,1622
1.4151,1615
1.4208,1620
1.4261,1613
1.4318,1620
1.4371,1616
1.4428,1619
1.4484,1614
1.4538,1620
1.4595,1616
1.4651,1620
1.4705,1617
1.4762,1622
1.4818,1616
1.4872,1620
1.4928,1617
1.4985,1619
1.5038,1617
1.5095,1621
1.5151,1617
1.5205,1618
1.5262,1617
1.5316,1621
1.5373,1618
1.543,1620
1.5483,1617
1.554,1618
1.5594,1618
1.565,1619
1.5706,1619
1.5763,1619
1.5817,1619
1.5872,1617
1.5929,1619
1.5985,1618
1.6039,1620
1.6095,1615
1.6151,1620
1.6207,1618
1.6261,1620
1.6317,1616
1.6373,1617
1.6427,1616
1.6484,1618
1.654,1619
