Experiment: Feb_19_real_eric2_expt vial 3, Fri Feb 19 13:52:14 2021
2.2132,27967
2.2189,27950
2.2243,27944
2.23,27931
2.2354,27909
2.2411,27912
2.2465,27901
2.2522,27895
2.2576,27894
2.2633,27922
2.2688,27918
2.2745,27904
2.2798,27900
2.2855,27880
2.2909,27890
2.2966,27890
2.302,27872
2.3077,27847
2.3131,27830
2.3187,27841
2.3242,27833
2.3299,27813
2.3356,27796
2.341,27836
2.3467,27841
2.3521,27832
2.3578,27814
2.3632,27802
2.3689,27816
2.3743,27773
2.38,27780
2.3854,27761
2.3911,27740
2.3965,27743
2.4022,27747
2.4076,27717
2.4133,27703
2.4187,27746
2.4244,27746
2.4299,27745
2.4355,27732
2.4409,27724
2.4466,27688
2.4521,27686
2.4577,27689
2.4631,27661
2.4688,27686
2.4744,27623
2.4798,27640
2.4853,27638
2.491,27607
2.4967,27688
2.5021,27679
2.5078,27658
2.5132,27673
2.5189,27648
2.5243,27627
2.53,27623
2.5354,27602
2.5411,27615
2.5465,27600
2.5521,27581
2.5576,27577
2.5633,27575
2.5687,27572
2.5744,27612
2.5798,27598
2.5855,27612
2.5909,27599
2.5966,27589
2.602,27557
2.6077,27576
2.6131,27572
2.6188,27523
2.6242,27567
2.6299,27512
2.6353,27514
2.641,27517
2.6464,27493
2.6521,27567
2.6578,27552
2.6632,27546
2.6689,27532
2.6743,27526
2.68,27497
2.6854,27470
2.6911,27462
2.6965,27477
2.7022,27450
2.7078,27449
2.7132,27434
2.7187,27442
2.7243,27405
2.7298,27473
2.7355,27473
2.7409,27435
2.7466,27429
2.752,27416
2.7577,27400
2.7633,27383
2.7687,27360
2.7744,27350
2.7798,27349
2.7854,27316
2.7909,27324
2.7966,27300
2.802,27303
2.8077,27365
2.8131,27372
2.8188,27395
2.8242,27355
2.8299,27347
2.8354,27311
2.8411,27300
2.8464,27300
2.8521,27272
2.8578,27266
2.8632,27264
2.8689,27270
2.8743,27258
2.88,27250
2.8855,27322
2.8909,27338
2.8966,27327
2.902,27330
2.9076,27318
2.9133,27298
2.9187,27255
2.9244,27241
2.9298,27215
2.9355,27209
2.9409,27225
2.9466,27216
2.952,27179
2.9577,27175
2.9631,27258
2.9689,27262
2.9743,27268
2.9799,27276
2.9853,27242
2.991,27249
2.9964,27211
3.0021,27163
3.0075,27167
3.0132,27185
3.0188,27150
3.0243,27123
3.03,27152
3.0354,27149
3.0411,27208
3.0465,27233
3.052,27235
3.0576,27240
3.0633,27208
3.0687,27208
3.0744,27197
3.0798,27138
3.0855,27144
3.0909,27152
3.0966,27122
3.102,27106
3.1077,27091
3.1131,27098
3.1188,27181
3.1242,27209
3.1299,27175
3.1353,27209
3.141,27158
3.1467,27161
3.1521,27143
3.1578,27138
3.1632,27108
3.1689,27079
3.1742,27075
3.1799,27100
3.1854,27102
3.1911,27095
3.1965,27165
3.2022,27194
3.2076,27172
3.2133,27177
3.2187,27163
3.2244,27124
3.2298,27110
3.2354,27128
3.2411,27084
3.2465,27081
3.2522,27078
3.2576,27072
3.2633,27051
3.2688,27073
3.2742,27103
3.2799,27195
3.2853,27165
3.291,27117
3.2966,27106
3.3021,27082
3.3078,27082
3.3132,27059
3.3187,27057
3.3243,27052
3.33,27058
3.3354,27027
3.3409,26994
3.3465,27027
3.3522,27103
3.3576,27119
3.3633,27081
3.3687,27106
3.3743,27107
3.38,27063
3.3855,27083
3.3911,27060
3.3965,27059
3.4021,27050
3.4078,27026
3.4132,27073
3.4186,27059
3.4243,27021
3.43,27141
3.4354,27137
3.4411,27128
3.4465,27107
3.4521,27095
3.4578,27068
3.4632,27023
3.4689,27053
3.4743,27028
3.48,27029
3.4854,27027
3.4911,26994
3.4965,26985
3.5022,26978
3.5076,27067
3.5133,27095
3.5188,27116
3.5244,27079
3.5298,27061
3.5355,27058
3.5409,27027
3.5466,26995
3.5523,26995
3.5576,27008
3.5633,26973
3.5687,26977
3.5744,26937
3.5799,26957
3.5856,27029
3.591,27098
3.5964,27062
3.6021,27058
3.6077,27070
3.6132,27011
3.6189,26991
3.6243,26986
3.63,26995
3.6354,26939
3.641,26954
3.6467,26932
3.6522,26950
3.6576,26902
3.6633,27023
3.6687,27021
3.6745,27012
3.6798,27007
3.6855,26973
3.6909,26978
3.6966,26963
3.7023,26931
3.7077,26934
3.7134,26930
3.7187,26875
3.7244,26894
3.7298,26905
3.7355,26879
3.741,26967
3.7467,26995
3.7521,26994
3.7578,26980
3.7634,26948
3.7689,26937
3.7743,26926
3.78,26903
3.7854,26883
3.7911,26895
3.7967,26876
3.8021,26855
3.8076,26881
3.8133,26838
3.8187,26934
3.8244,26958
3.8298,26965
3.8355,26933
3.8412,26935
3.8466,26915
3.852,26903
3.8577,26878
3.8634,26869
3.8688,26866
3.8744,26840
3.8799,26809
3.8856,26805
3.891,26815
3.8965,26870
3.9022,26920
3.9076,26932
3.9132,26891
3.9189,26884
3.9243,26879
3.93,26845
3.9354,26835
3.9411,26828
3.9467,26826
3.9521,26818
3.9578,26839
3.9632,26807
3.9689,26764
3.9744,26897
3.9801,26911
3.9855,26897
3.9912,26897
3.9965,26828
4.0022,26867
4.0077,26841
4.0133,26812
4.0188,26827
4.0244,26790
4.0301,26772
4.0355,26790
4.0412,26770
4.0466,26747
4.0523,26852
4.0577,26851
4.0631,26853
4.0688,26830
4.0745,26810
4.0799,26802
4.0856,26780
4.091,26771
4.0967,26758
4.1023,26726
4.1077,26721
4.1131,26737
4.1188,26759
4.1245,26739
4.13,26808
4.1354,26841
4.1411,26803
4.1465,26811
4.1521,26800
4.1578,26779
4.1633,26757
4.1689,26760
4.1744,26749
4.18,26742
4.1854,26745
4.1911,26744
4.1968,26729
4.2022,26703
4.2079,26777
4.2133,26868
4.2187,26832
4.2244,26818
4.2301,26801
4.2355,26778
4.2412,26779
4.2466,26752
4.2523,26757
4.2576,26741
4.2633,26730
4.2687,26717
4.2744,26731
4.2799,26758
4.2856,26823
4.291,26861
4.2967,26859
4.3021,26816
4.3077,26806
4.3131,26772
4.3188,26751
4.3245,26725
4.3299,26699
4.3356,26683
4.341,26707
4.3467,26687
4.3521,26724
4.3578,26670
4.3633,26787
4.369,26806
4.3744,26831
4.38,26772
4.3854,26770
4.3911,26771
4.3966,26742
4.4022,26695
4.4076,26702
4.4133,26688
4.4189,26697
4.4244,26675
4.4301,26623
4.4355,26674
4.4412,26756
4.4466,26769
4.4523,26761
4.4577,26739
4.4634,26740
4.4688,26764
4.4745,26681
4.4799,26681
4.4856,26683
4.491,26639
4.4966,26640
4.502,26629
4.5078,26638
4.5132,26618
4.5189,26690
4.5243,26773
4.53,26786
4.5354,26720
4.5411,26702
4.5465,26706
4.5522,26677
4.5578,26679
4.5633,26672
4.5689,26624
4.5743,26628
4.58,26611
4.5854,26606
4.5909,26580
4.5966,26705
4.6021,26707
4.6078,26722
4.6132,26698
4.6187,26673
4.6245,26665
4.6299,26634
4.6356,26626
4.641,26607
4.6466,26617
4.6523,26582
4.6577,26599
4.6634,26541
4.6688,26563
4.6743,26598
4.68,26688
4.6857,26696
4.6911,26689
4.6967,26679
4.7022,26609
4.7079,26618
4.7132,26584
4.7189,26603
4.7243,26596
4.73,26533
4.7354,26538
4.7411,26542
4.7466,26544
4.7523,26590
4.7577,26661
4.7634,26629
4.7688,26645
