Experiment: Feb_19_real_eric2_expt vial 5, Fri Feb 19 13:52:14 2021
0.0021,27973
0.0078,27972
0.0132,27974
0.0188,27976
0.0242,27978
0.0298,27964
0.0355,27955
0.0408,27975
0.0465,27973
0.0521,27969
0.0575,27978
0.0632,27975
0.0688,27965
0.0742,27970
0.0798,27955
0.0855,27968
0.0909,27988
0.0965,27964
0.1022,27991
0.1075,27985
0.1132,27991
0.1188,27980
0.1242,27941
0.1298,27939
0.1355,27951
0.1409,27942
0.1465,27960
0.1522,27955
0.1575,27656
0.1632,27695
0.1688,27949
0.1742,27938
0.1799,27981
0.1855,27937
0.1909,27955
0.1965,27982
0.2022,27971
0.2076,27983
0.2132,27918
0.2189,28000
0.2242,27986
0.2299,27923
0.2355,27927
0.2409,27901
0.2466,27952
0.2519,27983
0.2576,27928
0.2632,27961
0.2689,27945
0.2743,27967
0.2799,27963
0.2856,27936
0.2909,27950
0.2966,27812
0.302,27938
0.3076,27985
0.3133,27905
0.3187,27977
0.3243,27969
0.33,27966
0.3353,27900
0.341,27941
0.3466,28000
0.352,27957
0.3577,27983
0.3633,28016
0.3687,27962
0.3743,27974
0.38,27958
0.3853,27955
0.391,27977
0.3966,27984
0.402,27978
0.4077,27991
0.4131,27987
0.4187,27967
0.4244,27913
0.4298,27999
0.4354,27961
0.4411,27983
0.4464,28003
0.4521,27942
0.4577,27902
0.4631,27986
0.4688,28006
0.4744,28010
0.4798,27998
0.4854,27989
0.4911,27981
0.4964,27974
0.5021,27997
0.5077,28013
0.5131,27981
0.5188,27886
0.5242,27961
0.5299,27929
0.5355,27955
0.5409,28006
0.5466,27975
0.552,28031
0.5577,28005
0.5631,27985
0.5688,28019
0.5744,28039
0.5798,27948
0.5854,28021
0.5911,28002
0.5964,27951
0.6021,27999
0.6076,28022
0.6132,27981
0.6189,28013
0.6242,28008
0.6299,28041
0.6354,28002
0.641,28023
0.6464,27907
0.6521,28000
0.6577,28041
0.6631,28027
0.6688,27992
0.6745,28017
0.6798,28021
0.6855,27996
0.6909,28035
0.6965,28050
0.7022,28032
0.7076,28012
0.7132,28023
0.7188,28045
0.7242,28028
0.7299,28072
0.7355,28041
0.7409,28036
0.7465,28046
0.7522,28050
0.7576,28046
0.7632,28034
0.7689,27965
0.7742,28026
0.7799,28066
0.7853,28067
0.791,28078
0.7966,28023
0.802,28060
0.8077,28002
0.8133,28067
0.8187,28085
0.8243,28053
0.83,28031
0.8354,28063
0.841,28048
0.8467,28032
0.852,28053
0.8577,28085
0.8631,28090
0.8687,28054
0.8744,28049
0.88,28007
0.8854,28089
0.8911,28055
0.8964,28111
0.9021,28067
0.9078,28098
0.9131,28029
0.9188,28038
0.9244,28062
0.9298,28045
0.9355,28038
0.9411,28099
0.9465,28106
0.9521,28099
0.9578,28084
0.9631,28069
0.9688,28146
0.9744,28105
0.9798,28117
0.9855,28128
0.9909,28102
0.9965,28074
1.0022,28004
1.0076,28071
1.0132,28120
1.0189,28138
1.0243,28108
1.0299,28115
1.0356,28113
1.0409,28062
1.0466,28137
1.052,28089
1.0576,28145
1.0633,28133
1.0686,28109
1.0743,28131
1.08,28133
1.0853,28119
1.091,28122
1.0966,28137
1.102,28157
1.1077,28059
1.1133,28151
1.1187,28135
1.1244,28149
1.1298,28185
1.1354,28149
1.1411,28155
1.1465,28143
1.1521,28152
1.1578,28168
1.1632,28185
1.1688,28133
1.1742,28170
1.1798,28190
1.1855,28218
1.1909,28148
1.1965,28184
1.2022,28203
1.2075,28166
1.2132,28196
1.2188,28201
1.2242,28169
1.2299,28170
1.2355,28172
1.2409,28146
1.2466,28162
1.2522,28201
1.2576,28162
1.2633,28195
1.2687,28144
1.2743,28185
1.2797,28186
1.2854,28196
1.291,28186
1.2964,28206
1.3021,28190
1.3077,28200
1.3131,28202
1.3188,28194
1.3244,28193
1.3298,28181
1.3354,28210
1.3411,28208
1.3465,28184
1.3521,28215
1.3578,28192
1.3631,28188
1.3688,28188
1.3744,28209
1.3798,28179
1.3855,28183
1.3908,28203
1.3965,28172
1.4021,28203
1.4078,28206
1.4132,28194
1.4188,28187
1.4245,28173
1.4298,28189
1.4355,28179
1.4409,28214
1.4465,28218
1.4522,28195
1.4578,28171
1.4632,28197
1.4688,28198
1.4742,28183
1.4799,28175
1.4855,28168
1.4909,28203
1.4965,28215
1.5021,28208
1.5078,28203
1.5132,28168
1.5188,28214
1.5242,28205
1.5299,28201
1.5355,28179
1.5409,28193
1.5465,28168
1.5522,28173
1.5578,28175
1.5632,28166
1.5688,28175
1.5742,28175
1.5799,28161
1.5855,28185
1.5909,28183
1.5966,28184
1.6022,28195
1.6076,28188
1.6133,28158
1.6187,28159
1.6243,28184
1.6299,28143
1.6354,28145
1.641,28157
1.6467,28140
1.6521,28138
1.6577,28136
1.6634,28145
1.6688,28141
1.6744,28095
1.6798,28140
1.6855,28126
1.6909,28117
1.6966,28137
1.7022,28127
1.7076,28108
1.7132,28097
1.7186,28090
1.7243,28096
1.7299,28088
1.7356,28074
1.741,28091
1.7466,28070
1.752,28067
1.7577,28099
1.7633,28059
1.7687,28103
1.7744,28074
1.7797,28081
1.7854,28067
1.7911,28086
1.7965,28070
1.8021,28054
1.8078,28038
1.8132,28024
1.8188,28050
1.8245,28044
1.8298,28057
1.8355,28020
1.8409,28000
1.8466,27983
1.852,28027
1.8577,27989
1.8631,27993
1.8687,27972
1.8744,28000
1.8798,27984
1.8854,27904
1.8911,27959
1.8964,27933
1.9022,27913
1.9076,27913
1.9132,27911
1.9187,27911
1.9243,27929
1.93,27890
1.9354,27908
1.9411,27893
1.9465,27822
1.9522,27860
1.9576,27857
1.9632,27879
1.9686,27843
1.9743,27829
1.9797,27862
1.9854,27833
1.991,27869
1.9967,27864
2.0021,27850
2.0077,27828
2.0132,27807
2.0189,27827
2.0243,27778
2.03,27804
2.0354,27775
2.0411,27799
2.0465,27750
2.0522,27762
2.0576,27769
2.0633,27745
2.0687,27758
2.0744,27772
2.0798,27790
2.0854,27793
2.0909,27757
2.0966,27740
2.102,27746
2.1077,27761
2.1131,27731
2.1188,27721
2.1242,27735
2.1299,27706
2.1356,27742
2.141,27738
2.1466,27757
2.152,27713
2.1577,27728
2.1633,27670
2.1686,27666
2.1743,27685
2.18,27667
2.1854,27669
2.1911,27680
2.1965,27633
2.2021,27658
2.2078,27628
2.2132,27644
2.2189,27684
2.2243,27676
2.23,27675
2.2354,27640
2.2411,27667
2.2465,27644
2.2522,27630
2.2576,27621
2.2633,27594
2.2688,27624
2.2745,27609
2.2798,27618
2.2855,27616
2.2909,27657
2.2966,27628
2.302,27614
2.3077,27615
2.3131,27609
2.3187,27577
2.3242,27534
2.3299,27573
2.3356,27558
2.341,27588
2.3467,27562
2.3521,27539
2.3578,27536
2.3632,27509
2.3689,27558
2.3743,27580
2.38,27590
2.3854,27535
2.3911,27551
2.3965,27551
2.4022,27508
2.4076,27507
2.4133,27515
2.4187,27483
2.4244,27489
2.4299,27474
2.4355,27471
2.4409,27471
2.4466,27498
2.4521,27529
2.4577,27495
2.4631,27504
2.4688,27462
2.4744,27491
2.4798,27430
2.4853,27454
2.491,27407
2.4967,27450
2.5021,27447
2.5078,27417
2.5132,27384
2.5189,27401
2.5243,27438
2.53,27409
2.5354,27451
2.5411,27406
2.5465,27409
2.5521,27392
2.5576,27383
2.5633,27354
2.5687,27365
2.5744,27332
2.5798,27298
2.5855,27335
2.5909,27345
2.5966,27322
2.602,27348
2.6077,27335
2.6131,27357
2.6188,27302
2.6242,27334
2.6299,27292
2.6353,27287
2.641,27296
2.6464,27271
2.6521,27275
2.6578,27286
2.6632,27252
2.6689,27251
2.6743,27233
2.68,27306
2.6854,27275
2.6911,27278
2.6965,27244
2.7022,27240
2.7078,27240
2.7132,27204
2.7187,27172
2.7243,27195
2.7298,27166
2.7355,27155
2.7409,27115
2.7466,27152
2.752,27138
2.7577,27207
2.7633,27210
2.7687,27216
2.7744,27190
2.7798,27175
2.7854,27141
2.7909,27142
2.7966,27130
2.802,27096
2.8077,27092
2.8131,27091
2.8188,27078
2.8242,27064
2.8299,27044
2.8354,27058
2.8411,27081
2.8464,27062
2.8521,27094
2.8578,27052
2.8632,26999
2.8689,27014
2.8743,26991
2.88,26948
2.8855,26986
2.8909,26956
2.8966,26958
2.902,26924
2.9076,26939
2.9133,27010
2.9187,26966
2.9244,27020
2.9298,27014
2.9355,26992
2.9409,26953
2.9466,26955
2.952,26911
2.9577,26900
2.9631,26897
2.9689,26914
2.9743,26903
2.9799,26823
2.9853,26861
2.991,26980
2.9964,26916
3.0021,26947
3.0075,26931
3.0132,26950
3.0188,26911
3.0243,26914
3.03,26890
3.0354,26830
3.0411,26857
3.0465,26848
3.052,26860
3.0576,26844
3.0633,26846
3.0687,26904
3.0744,26898
3.0798,26913
3.0855,26937
3.0909,26889
3.0966,26865
3.102,26864
3.1077,26826
3.1131,26848
3.1188,26810
3.1242,26791
3.1299,26774
3.1353,26792
3.141,26765
3.1467,26877
3.1521,26905
3.1578,26924
