Experiment: Mar_23_T2_osmo_expt vial 5, Tue Mar 23 18:19:48 2021
0.0016,102
0.0069,100
0.0125,101
0.0179,102
0.0235,102
0.0292,103
0.0348,100
0.0401,101
0.0458,100
0.0514,98
0.057,99
0.0624,102
0.068,103
0.0736,105
0.0793,101
0.0846,104
0.0902,104
0.0959,102
0.1015,101
0.1068,101
0.1124,103
0.1181,104
0.1234,104
0.129,100
0.1346,101
0.1403,105
0.1459,99
0.1512,106
0.1569,101
0.1625,105
0.1681,104
0.1735,100
0.1791,102
0.1847,104
0.1904,102
0.1957,100
0.2013,104
0.207,101
0.2123,101
0.2179,101
0.2236,99
0.2292,98
0.2346,100
0.2401,98
0.2457,98
0.2514,103
0.257,107
0.2623,101
0.2679,105
0.2735,102
0.2792,100
0.2848,100
0.2901,97
0.2957,100
0.3014,104
0.307,102
0.3123,103
0.318,100
0.3235,102
0.3292,100
0.3348,102
0.3401,104
0.3458,102
0.3513,103
0.357,102
0.3623,98
0.368,101
0.3736,101
0.3792,100
0.3848,101
0.3901,101
0.3958,103
0.4014,100
0.407,101
0.4126,101
0.4179,102
0.4236,101
0.4292,103
0.4348,100
0.4401,101
0.4458,99
0.4514,99
0.4568,105
0.4624,100
0.468,106
0.4737,104
0.479,99
0.4846,101
0.4903,105
0.4959,101
0.5012,103
0.5069,103
0.5125,103
0.5181,104
0.5234,101
0.5291,103
0.5347,101
0.5401,102
0.5458,101
0.5514,104
0.557,102
0.5623,97
0.568,101
0.5736,102
0.5792,100
0.5846,102
0.5902,101
0.5959,103
0.6015,101
0.6068,100
0.6125,102
0.6181,101
0.6237,101
0.629,101
0.6347,99
0.6403,104
0.6457,101
0.6513,101
0.6569,104
0.6625,101
0.6679,101
0.6735,101
0.6791,103
0.6847,101
0.6901,103
0.6957,101
0.7013,104
0.7069,101
0.7125,98
0.7179,101
0.7235,103
0.7291,102
0.7348,102
0.7401,100
0.7457,102
0.7514,103
0.757,103
0.7623,102
0.768,102
0.7736,105
0.7792,102
0.7846,105
0.7902,102
0.7958,98
0.8015,98
0.8068,99
0.8124,103
0.8181,101
0.8234,98
0.829,101
0.8347,97
0.8403,99
0.8459,101
0.8513,99
0.8569,105
0.8625,105
0.8679,99
0.8735,102
0.8792,99
0.8848,101
0.8902,103
0.8958,102
0.9014,103
0.9068,99
0.9124,106
0.9181,101
0.9237,101
0.929,99
0.9347,103
0.9403,100
0.9459,100
0.9513,101
0.9569,105
0.9625,102
0.9681,100
0.9735,104
0.9791,102
0.9847,103
0.9903,102
0.9957,99
1.0013,103
1.007,104
1.0126,102
1.0179,104
1.0235,101
1.0292,98
1.0348,100
1.0401,100
1.0458,103
1.0514,103
1.057,102
1.0626,102
1.068,105
1.0736,102
1.0792,102
1.0848,104
1.0902,103
1.0958,103
1.1014,103
1.1068,104
1.1124,103
1.1181,106
1.1237,103
1.129,99
1.1347,99
1.1403,99
1.1459,99
1.1513,101
1.157,101
1.1623,104
1.1679,100
1.1736,99
1.1792,101
1.1845,102
1.1901,104
1.1958,100
1.2014,102
1.207,102
1.2124,102
1.218,101
1.2237,97
1.2293,100
1.2346,100
1.2402,100
1.2459,100
1.2515,101
1.2568,100
1.2625,101
1.2681,102
1.2737,103
1.279,102
1.2847,106
1.2903,103
1.2957,103
1.3013,103
1.3069,101
1.3125,104
1.3179,105
1.3235,102
1.3292,102
1.3348,101
1.3401,105
1.3458,102
1.3514,102
1.357,104
1.3624,102
1.368,103
1.3736,101
1.379,104
1.3846,104
1.3903,105
1.3959,105
1.4012,106
1.4069,105
1.4125,106
1.4181,103
1.4235,100
1.4291,100
1.4348,101
1.4401,103
1.4458,99
1.4514,100
1.457,101
1.4624,103
1.468,103
