Experiment: Feb_22_tst2_chemo_expt vial 8, Mon Feb 22 14:12:56 2021
0.0055,1663
0.0115,1658
0.0168,1654
0.0225,1650
0.0278,1645
0.0335,1639
0.0389,1634
0.0446,1632
0.0502,1631
0.0556,1638
0.0613,1637
0.0669,1633
0.0723,1629
0.0779,1634
0.0836,1634
0.0889,1630
0.0946,1629
0.1002,1636
0.1056,1635
0.1112,1629
0.1169,1635
0.1225,1634
0.1279,1630
0.1335,1629
0.1389,1633
0.1446,1635
0.1502,1630
0.1556,1630
0.1612,1635
0.1669,1634
0.1744,1630
