Experiment: T3_Aug_19_pumped_od_cal_expt vial 14, Thu Aug 19 18:27:12 2021
0,0
0.053,1.74
0.1031,1.83
0.1587,1.94
0.2141,2.05
0.2642,2.18
0.3198,2.34
0.3754,2.51
0.4309,2.71
0.4864,2.95
0.542,3.23
0.5976,3.57
0.653,3.99
0.7031,4.52
0.7586,5.22
0.8087,6.17
0.8643,7.55
0.9198,9.74
0.9753,13.73
1.0253,23.47
