Experiment: Mar_2_Turb_expt vial 3, Tue Mar  2 18:45:49 2021
0.0056,25835
0.0113,25773
0.0166,25771
0.0223,25760
0.0279,25750
0.0333,25677
0.0389,25701
0.0446,25683
0.0499,25762
0.0556,25720
0.0612,25687
0.0666,25714
0.0723,25691
0.0779,25699
0.0833,25696
0.0889,25671
0.0946,25665
0.0999,25650
0.1056,25641
0.1112,25588
0.1166,25649
0.1222,25576
0.1279,25610
0.1333,25652
0.1389,25657
0.1445,25545
0.1502,25668
0.1555,25627
0.1611,25551
0.1668,25554
0.1721,25584
0.1777,25560
0.1834,25501
0.189,25581
0.1944,25540
0.2,25562
0.2056,25567
0.2113,25556
0.2166,25575
0.2223,25583
0.2279,25563
0.2332,25575
0.2389,25537
0.2445,25520
0.2501,25588
0.2555,25546
0.2611,25592
0.2668,25553
0.2721,25523
0.2778,25510
0.2834,25532
0.289,25489
0.2944,25509
0.2999,25529
0.3056,25516
0.3112,25494
0.3165,25506
0.3222,25463
0.3277,25475
0.3333,25514
0.339,25482
0.3446,25496
0.3499,25486
0.3555,25518
0.3611,25527
0.3668,25429
0.3721,25474
0.3778,25454
0.3833,25460
0.3889,25465
0.3946,25546
0.3999,25469
0.4056,25527
0.4111,25498
0.4168,25495
0.4224,25430
0.4278,25460
0.4334,25531
0.4389,25480
0.4446,25464
0.4499,25462
0.4556,25498
0.4612,25479
0.4666,25455
0.4722,25443
0.4778,25397
0.4835,25498
0.4888,25459
0.4945,25430
0.5001,25491
0.5055,25449
0.5111,25438
0.5168,25505
0.5221,25466
0.5278,25474
0.5334,25484
0.5388,25415
0.5444,25463
0.5501,25424
0.5557,25467
0.5611,25415
0.5667,25500
0.5723,25423
0.5777,25461
0.5833,25471
0.589,25433
0.5943,25485
0.6,25415
0.6056,25457
0.6112,25387
0.6166,25495
0.6222,25421
0.6279,25450
0.6332,25392
0.6389,25505
0.6445,25422
0.6501,25463
0.6555,25461
0.6611,25469
0.6668,25411
0.6721,25398
0.6777,25468
0.6834,25483
0.689,25419
0.6944,25479
0.7,25500
0.7056,25396
0.7113,25450
0.7166,25406
0.7222,25443
0.7279,25462
0.7332,25429
0.7388,25373
0.7445,25440
0.7501,25419
0.7555,25479
0.7611,25454
0.7667,25438
0.7721,25439
0.7777,25404
0.7833,25444
0.789,25432
0.7946,25428
0.8,25460
0.8056,25411
0.811,25441
0.8166,25448
0.8222,25460
0.8279,25419
0.8332,25402
0.8389,25427
0.8445,25355
0.8501,25407
0.8555,25395
0.8612,25393
0.8668,25455
0.8722,25432
0.8778,25422
0.8834,25415
0.8888,25438
0.8944,25427
0.9001,25432
0.9054,25443
0.9111,25426
0.9167,25440
0.9223,25442
0.9277,25362
0.9333,25472
0.939,25424
0.9443,25427
0.95,25415
0.9554,25423
0.961,25427
0.9667,25433
0.9723,25377
0.9777,25421
0.9833,25407
0.989,25427
0.9943,25400
1.0,25402
1.0056,25443
1.0113,25446
1.0167,25361
1.0223,25432
1.0277,25432
1.0333,25416
1.039,25462
1.0443,25439
1.05,25404
1.0556,25458
1.061,25411
1.0666,25391
1.0723,25402
1.0779,25455
1.0833,25362
