Experiment: Mar_18_osmo_expt vial 3, Thu Mar 18 18:20:50 2021
0.0052,28388
0.0109,28387
0.0165,28392
0.0219,28407
0.0275,28411
0.0332,28427
0.0388,28443
0.0442,28428
0.0498,28429
0.0554,28448
0.0608,28447
0.0664,28452
0.072,28466
0.0777,28453
0.083,28465
0.0887,28459
0.0943,28462
0.0997,28466
0.1053,28465
0.111,28456
0.1163,28453
0.122,28450
0.1276,28429
0.1332,28434
0.1386,28429
0.1442,28426
0.1498,28424
0.1554,28404
0.1608,28397
0.1664,28402
0.1721,28397
0.1774,28405
0.183,28400
0.1887,28399
0.1943,28402
0.1997,28407
0.2053,28406
0.2109,28408
0.2166,28407
0.2219,28411
0.2276,28408
0.2332,28408
0.2386,28408
0.2442,28408
0.2498,28403
0.2555,28407
0.2608,28411
0.2665,28405
0.2721,28413
0.2775,28418
0.283,28410
0.2886,28412
0.2942,28407
0.2999,28411
0.3052,28405
0.3108,28405
0.3164,28411
0.3221,28406
0.3275,28407
0.3331,28406
0.3386,28407
0.3442,28409
0.3499,28405
0.3552,28397
0.3608,28399
0.3664,28406
0.372,28403
0.3774,28399
0.383,28399
0.3887,28399
0.3942,28394
0.3998,28400
0.4052,28403
0.4108,28395
0.4165,28402
0.422,28387
0.4277,28405
0.433,28404
0.4387,28397
0.4443,28393
0.4496,28405
0.4553,28406
0.4609,28399
0.4666,28397
0.4719,28401
0.4776,28396
0.4832,28400
0.4885,28400
0.4942,28405
0.4998,28402
0.5054,28400
0.5108,28401
0.5164,28406
0.522,28399
0.5277,28401
0.533,28401
0.5387,28400
0.5443,28384
0.5497,28393
0.5553,28387
0.561,28395
0.5666,28387
0.572,28389
0.5776,28393
0.5832,28393
0.5886,28389
0.5942,28395
0.5999,28388
0.6052,28393
0.6108,28396
0.6165,28392
0.6221,28388
0.6277,28390
0.6331,28394
0.6387,28396
0.6444,28400
0.6497,28392
0.6554,28392
0.661,28390
0.6663,28395
0.672,28396
0.6776,28394
0.6832,28399
0.6886,28401
0.6942,28401
0.6999,28396
0.7052,28391
0.7109,28384
0.7165,28393
0.7221,28397
0.7275,28395
0.7331,28401
0.7388,28401
0.7441,28395
0.7498,28405
0.7554,28404
0.7607,28400
0.7664,28400
0.772,28411
0.7777,28404
0.783,28408
0.7887,28408
0.7943,28407
0.7997,28404
0.8053,28398
0.8109,28403
0.8166,28404
0.8219,28400
0.8276,28396
