Experiment: June_23_negative_cntrl_expt vial 5, Wed Jun 23 11:25:39 2021
0.0044,102
0.0101,101
0.0157,100
0.0211,103
0.0268,103
0.0324,97
0.0378,101
0.0435,100
0.0489,98
0.0545,100
0.0602,97
0.0656,99
0.0713,101
0.0766,102
0.0823,103
0.0879,102
0.0933,99
0.099,100
0.1046,99
0.11,100
0.1157,103
0.1213,101
0.1267,102
0.1324,102
0.1377,100
0.1434,99
0.149,102
0.1546,101
0.16,103
0.1656,101
0.1713,101
0.1766,100
0.1822,100
0.1879,99
0.1935,99
0.1989,99
0.2045,101
0.2099,98
0.2156,96
0.2213,92
0.2266,98
0.2323,98
0.238,102
0.2434,97
0.249,100
0.2544,98
0.2601,98
0.2657,94
0.2711,99
0.2768,99
0.2821,99
0.2878,99
0.2934,101
0.2991,101
0.3044,102
0.31,101
0.3157,99
0.3213,103
0.3267,99
0.3323,101
0.3379,98
0.3433,102
0.3489,98
0.3546,99
0.3602,101
0.3655,96
0.3712,99
0.3768,99
0.3822,98
0.3879,97
0.3935,99
0.3989,98
0.4045,98
0.4102,103
0.4155,101
0.4212,98
0.4268,100
0.4322,101
0.4379,99
0.4433,100
0.4489,102
0.4546,99
0.4602,100
0.4656,100
0.4711,95
0.4768,99
0.4822,100
0.4878,103
0.4934,100
0.4989,101
0.5046,100
0.5102,98
0.5156,102
0.5212,101
0.5266,96
0.5323,101
0.5379,101
0.5435,99
0.5489,100
0.5544,99
0.5601,97
0.5657,98
0.5713,97
0.5767,108
0.5823,101
0.5879,98
0.5935,97
0.5989,99
0.6045,100
0.6101,97
0.6157,100
0.6213,100
0.6267,100
0.6323,99
0.6379,96
0.6435,99
0.6488,100
0.6545,99
0.6601,98
0.6657,99
0.6713,101
0.6767,97
0.6823,102
0.6879,102
0.6935,94
0.6989,100
0.7045,100
0.7101,100
0.7157,102
0.7211,98
0.7267,102
0.7324,99
0.7377,100
0.7434,99
0.749,102
0.7546,103
0.76,102
0.7656,99
0.7712,101
0.7768,99
0.7822,97
0.7878,101
0.7935,98
0.7991,100
0.8044,100
0.8101,102
0.8157,101
0.8211,102
0.8267,101
0.8323,101
0.838,99
0.8433,100
0.8489,101
0.8546,101
0.8602,101
0.8655,100
0.8712,99
0.8768,102
0.8824,99
0.8878,99
0.8934,102
0.899,98
0.9046,105
0.91,101
0.9156,102
0.9212,102
0.9266,100
0.9322,99
0.9379,99
0.9435,99
0.9491,98
0.9545,98
0.9601,98
0.9657,103
0.9711,96
0.9767,98
0.9823,101
0.988,98
0.9933,99
0.9989,100
1.0046,100
1.01,101
1.0156,102
1.0213,98
1.0266,99
1.0323,102
1.0379,101
1.0433,99
1.0489,99
1.0544,102
1.0601,102
1.0655,99
1.0712,98
1.0766,97
1.0822,99
1.0879,99
1.0933,98
1.099,100
1.1044,101
1.1101,103
1.1158,97
1.1211,103
1.1268,96
1.1322,95
1.1379,99
1.1435,95
1.1489,100
1.1545,103
1.1602,98
1.1656,101
1.1712,99
1.1769,99
1.1822,99
1.1879,101
1.1935,99
1.1989,103
1.2046,101
1.21,100
1.2157,102
1.2211,101
1.2268,102
1.2325,104
1.2379,98
1.2436,99
1.249,96
1.2546,95
1.2601,98
1.2658,102
1.2712,100
1.2768,103
1.2823,97
1.2879,100
1.2934,98
1.299,100
1.3044,96
1.3102,100
1.3156,102
1.3213,98
1.3267,99
1.3324,98
1.3378,102
1.3435,97
1.3489,100
1.3546,105
1.36,97
1.3657,97
1.3711,95
1.3768,97
1.3823,97
1.388,99
1.3934,101
1.3991,101
1.4045,100
1.4101,99
1.4155,98
1.4212,97
1.4266,101
1.4323,101
1.438,99
1.4434,96
1.4491,101
1.4545,102
1.4602,99
1.4656,101
1.4713,100
1.4767,97
1.4824,96
1.4878,96
1.4935,99
1.4989,101
1.5046,99
1.51,99
1.5157,99
1.5211,102
1.5268,99
1.5322,99
1.5379,100
1.5433,102
1.549,101
1.5547,98
1.5601,102
1.5658,99
1.5712,97
1.5769,98
1.5823,93
1.5879,95
1.5933,99
1.5991,98
1.6045,102
1.6102,95
1.6156,101
1.6213,102
1.6267,98
1.6324,98
1.6378,100
1.6435,100
1.6489,99
1.6545,100
1.6602,100
1.6656,98
1.6713,98
1.6766,94
1.6823,99
1.6879,100
1.6935,99
1.6989,99
1.7046,102
1.7099,102
1.7157,101
1.7211,101
1.7266,101
1.7323,100
1.738,101
1.7434,100
1.7491,97
1.7545,101
1.76,102
