Experiment: Apr29_heat_tst_expt vial 4, Fri Apr 29 15:10:13 2022
0.0028,1633
0.0084,1640
0.0141,1643
0.0194,1638
0.0251,1631
0.0307,1617
0.0361,1609
0.0417,1613
0.0474,1625
0.0528,1627
0.0584,1622
0.0641,1616
0.0695,1614
0.0751,1623
0.0808,1624
0.0861,1620
0.0918,1615
0.0972,1619
0.1028,1624
0.1085,1623
0.1138,1616
0.1195,1613
0.1252,1624
0.1306,1624
0.1362,1622
0.1419,1614
0.1472,1616
0.1529,1623
0.1583,1624
0.1639,1617
0.1696,1615
0.175,1621
0.1806,1625
0.1863,1621
0.1917,1615
0.1973,1616
0.203,1624
0.2084,1624
0.2139,1618
0.2196,1614
0.225,1622
0.2306,1625
0.2363,1619
0.2417,1615
0.2473,1617
0.253,1624
0.2583,1625
0.264,1617
0.2696,1613
0.2751,1619
