Experiment: Apr29_heat_tst_expt vial 10, Fri Apr 29 15:10:13 2022
0.0028,1616
0.0084,1623
0.0141,1629
0.0194,1632
0.0251,1625
0.0307,1621
0.0361,1623
0.0417,1630
0.0474,1630
0.0528,1626
0.0584,1620
0.0641,1623
0.0695,1630
0.0751,1629
0.0808,1625
0.0861,1620
0.0918,1625
0.0972,1630
0.1028,1630
0.1085,1624
0.1138,1620
0.1195,1622
0.1252,1630
0.1306,1632
0.1362,1626
0.1419,1619
0.1472,1620
0.1529,1626
0.1583,1631
0.1639,1627
0.1696,1622
0.175,1621
0.1806,1625
0.1863,1633
0.1917,1631
0.1973,1621
0.203,1618
0.2084,1624
0.2139,1633
0.2196,1629
0.225,1622
0.2306,1622
0.2363,1625
0.2417,1632
0.2473,1628
0.253,1621
0.2583,1622
0.264,1626
0.2696,1631
0.2751,1629
