Experiment: Apr29_heat_tst_expt vial 8, Fri Apr 29 15:10:13 2022
0.0028,1616
0.0084,1619
0.0141,1630
0.0194,1641
0.0251,1648
0.0307,1645
0.0361,1641
0.0417,1632
0.0474,1629
0.0528,1636
0.0584,1644
0.0641,1642
0.0695,1635
0.0751,1629
0.0808,1632
0.0861,1642
0.0918,1641
0.0972,1638
0.1028,1632
0.1085,1633
0.1138,1642
0.1195,1643
0.1252,1638
0.1306,1631
0.1362,1635
0.1419,1641
0.1472,1641
0.1529,1636
0.1583,1632
0.1639,1634
0.1696,1644
0.175,1640
0.1806,1634
0.1863,1632
0.1917,1638
0.1973,1641
0.203,1640
0.2084,1634
0.2139,1633
0.2196,1637
0.225,1641
0.2306,1638
0.2363,1632
0.2417,1632
0.2473,1641
0.253,1643
0.2583,1639
0.264,1630
0.2696,1631
0.2751,1637
