Experiment: Apr29_heat_tst_expt vial 12, Fri Apr 29 15:10:13 2022
0.0028,2050
0.0084,2049
0.0141,2049
0.0194,2047
0.0251,2048
0.0307,2049
0.0361,2049
0.0417,2049
0.0474,2049
0.0528,2047
0.0584,2047
0.0641,2047
0.0695,2046
0.0751,2047
0.0808,2047
0.0861,2045
0.0918,2045
0.0972,2046
0.1028,2045
0.1085,2044
0.1138,2045
0.1195,2045
0.1252,2045
0.1306,2043
0.1362,2044
0.1419,2042
0.1472,2043
0.1529,2044
0.1583,2042
0.1639,2041
0.1696,2043
0.175,2041
0.1806,2042
0.1863,2042
0.1917,2042
0.1973,2041
0.203,2043
0.2084,2041
0.2139,2042
0.2196,2039
0.225,2042
0.2306,2041
0.2363,2038
0.2417,2041
0.2473,2040
0.253,2041
0.2583,2039
0.264,2040
0.2696,2041
0.2751,2041
