Experiment: Apr29_heat_tst_expt vial 2, Fri Apr 29 15:10:13 2022
0.0028,1626
0.0084,1622
0.0141,1622
0.0194,1619
0.0251,1613
0.0307,1609
0.0361,1605
0.0417,1597
0.0474,1592
0.0528,1592
0.0584,1595
0.0641,1595
0.0695,1592
0.0751,1594
0.0808,1596
0.0861,1591
0.0918,1590
0.0972,1595
0.1028,1594
0.1085,1592
0.1138,1595
0.1195,1592
0.1252,1590
0.1306,1594
0.1362,1594
0.1419,1591
0.1472,1593
0.1529,1595
0.1583,1592
0.1639,1590
0.1696,1597
0.175,1593
0.1806,1588
0.1863,1595
0.1917,1595
0.1973,1589
0.203,1591
0.2084,1594
0.2139,1590
0.2196,1592
0.225,1594
0.2306,1591
0.2363,1590
0.2417,1595
0.2473,1595
0.253,1589
0.2583,1594
0.264,1594
0.2696,1589
0.2751,1592
