Experiment: Apr29_heat_tst_expt vial 15, Fri Apr 29 15:10:13 2022
0.0028,1634
0.0084,1630
0.0141,1627
0.0194,1633
0.0251,1641
0.0307,1643
0.0361,1636
0.0417,1630
0.0474,1631
0.0528,1640
0.0584,1640
0.0641,1635
0.0695,1630
0.0751,1633
0.0808,1641
0.0861,1640
0.0918,1635
0.0972,1630
0.1028,1634
0.1085,1643
0.1138,1640
0.1195,1628
0.1252,1628
0.1306,1635
0.1362,1640
0.1419,1640
0.1472,1634
0.1529,1630
0.1583,1634
0.1639,1639
0.1696,1638
0.175,1631
0.1806,1630
0.1863,1639
0.1917,1640
0.1973,1638
0.203,1630
0.2084,1633
0.2139,1639
0.2196,1640
0.225,1635
0.2306,1630
0.2363,1635
0.2417,1641
0.2473,1638
0.253,1631
0.2583,1631
0.264,1637
0.2696,1639
0.2751,1636
