Experiment: Apr29_heat_tst_expt vial 9, Fri Apr 29 15:10:13 2022
0.0028,1610
0.0084,1615
0.0141,1613
0.0194,1622
0.0251,1635
0.0307,1643
0.0361,1636
0.0417,1630
0.0474,1632
0.0528,1640
0.0584,1635
0.0641,1632
0.0695,1637
0.0751,1635
0.0808,1633
0.0861,1638
0.0918,1637
0.0972,1634
0.1028,1637
0.1085,1634
0.1138,1634
0.1195,1636
0.1252,1633
0.1306,1633
0.1362,1639
0.1419,1632
0.1472,1635
0.1529,1635
0.1583,1632
0.1639,1638
0.1696,1635
0.175,1632
0.1806,1639
0.1863,1633
0.1917,1633
0.1973,1638
0.203,1632
0.2084,1634
0.2139,1639
0.2196,1633
0.225,1634
0.2306,1639
0.2363,1633
0.2417,1632
0.2473,1640
0.253,1634
0.2583,1633
0.264,1638
0.2696,1634
0.2751,1633
